FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
12234.811,24.64,14220.359,9608.06,962.5,90.86,64.8,116.1,12279.04,48148.48,57.6,525.34204,83.585846
15061.44,106.259995,18855.76,12370.819,1282.82,175.56,39.15,32.4,15696.64,61772.797,57.6,565.93365,86.83563
27495.48,164.78,33485.758,22790.459,2325.4,180.18,47.25,33.75,27502.08,108060.16,57.6,550.5102,83.30139
11628.42,143.22,16787.54,11298.9795,1025.64,133.98,66.15,-8.1,13181.439,55531.52,57.7,652.76404,94.53723
16903.23,97.02,20016.92,13712.159,1088.78,63.14,76.950005,20.25,15567.359,68386.555,57.7,535.26843,76.620384
13071.75,80.08,15389.22,10661.42,1147.2999,187.87999,41.850002,14.85,12550.399,50149.117,57.7,532.1355,79.919716
17861.1,90.86,16379.439,11203.5,1201.2,118.579994,31.050001,-22.95,13256.96,52430.08,57.7,414.28433,61.555614
28058.371,87.78,30424.238,20183.24,2060.52,278.74,74.25,28.35,24729.6,94785.28,57.9,490.03445,73.28227
19911.69,90.86,23712.92,15852.76,1244.32,420.41998,28.35,-60.75,18602.24,75466.24,57.9,538.3015,77.7386
45141.69,274.12,52358.457,35863.52,3763.76,671.44,114.75,58.05,44158.72,168254.72,57.9,524.2472,81.44592
14669.07,30.8,15926.68,10849.3,1344.4199,160.16,-17.550001,31.050001,13520.64,53488.64,57.9,490.67416,76.68285
12661.98,63.14,17462.059,12058.199,1017.94,78.54,2.7,-4.05,13649.92,57998.08,58.0,623.52313,89.857124
35462.94,75.46,35758.8,24476.76,2548.7,477.4,76.950005,60.75,29017.6,114483.195,58.0,455.6284,67.96318
23417.791,40.04,21466.059,14816.34,1410.64,50.82,103.950005,-21.6,18046.719,69219.836,58.0,414.108,63.950554
17841.09,101.64,19068.28,12618.76,1051.82,377.3,176.85,5.4,15778.56,65268.48,58.0,482.99942,73.537796
19650.69,124.74,22638.0,15609.439,1365.98,190.95999,8.1,-22.95,17991.68,74772.48,58.0,520.693,76.165726
30211.621,167.86,32851.277,21325.92,2011.24,420.41998,-4.05,-47.25,27516.16,109352.96,58.0,491.41687,75.76166
16041.93,84.7,19730.48,13328.699,1236.62,158.62,64.8,-4.05,16535.04,66983.68,58.0,555.9751,85.87187
12601.08,150.92,15011.92,10244.08,811.57996,204.81999,59.4,-21.6,12340.4795,52858.88,58.0,538.48975,81.53817
15458.16,69.299995,16008.3,11218.899,922.45996,431.19998,44.55,-70.200005,13163.52,49470.72,58.0,467.96683,70.7703
17436.541,73.92,18418.4,13045.34,1087.24,287.97998,-35.100002,-63.45,15240.96,57757.438,58.1,477.35056,72.66862
25578.0,118.579994,28018.76,19072.9,2114.42,160.16,9.45,-1.35,29885.44,93350.4,58.1,495.06323,97.474464
51099.45,297.22,67128.6,46099.9,4513.7397,837.76,-35.100002,54.0,55457.277,211162.88,58.1,593.9029,90.46878
20644.23,93.939995,23398.76,15614.06,1447.6,321.86,-2.7,-10.8,18987.52,75882.24,58.2,512.27356,76.517555
27706.89,129.36,35098.14,23263.24,2356.2,113.96,39.15,-25.65,28134.398,109108.48,58.2,572.65533,84.5816
13909.561,78.54,16194.64,10924.76,977.89996,93.939995,71.55,-12.150001,13226.239,51555.84,58.2,526.2451,79.14077
14261.04,81.619995,16713.62,11511.5,1045.66,180.18,12.150001,21.6,13760.0,53903.36,58.2,529.73047,80.320076
16038.45,53.899998,18606.28,12507.88,777.69995,237.15999,31.050001,36.45,14914.56,58810.88,58.2,524.35376,77.37519
20927.85,152.45999,21860.299,14506.8,1524.6,349.58,149.85,-41.850002,17656.32,68906.24,58.2,472.0273,70.10598
14079.21,10.78,16080.68,9829.819,1309.0,200.2,260.55002,-13.5,13103.359,50410.24,58.3,516.22656,77.43952
24164.25,107.799995,29597.26,20038.48,1777.1599,332.63998,198.45,27.0,24271.36,97466.875,58.3,553.6677,83.65475
12227.85,98.56,12001.22,8369.899,711.48,46.199997,68.85,-18.9,10088.96,38592.0,58.3,443.45728,68.53874
32911.23,246.4,39387.04,26350.94,2094.4,351.12,13.5,-29.7,31948.799,125424.64,58.3,540.9559,80.81651
31471.38,140.14,34272.7,23066.12,2035.88,227.92,72.9,-36.45,28058.879,111445.76,58.4,492.15933,74.142395
16871.041,155.54,17181.78,11383.68,1224.2999,157.08,152.55,-24.300001,14421.76,56268.797,58.4,460.19116,71.04551
17267.76,133.98,33.879997,172.48,257.18,103.18,29.7,-76.950005,496.63998,747.51996,58.4,-0.11149049,1.4240203
15301.561,115.5,16424.1,11246.62,1034.88,47.739998,47.25,-17.550001,13310.72,53320.957,58.4,485.07193,72.3156
17888.94,47.739998,18598.58,12313.84,1116.5,126.28,6.75,-6.75,14894.08,59558.4,58.5,469.8146,69.17132
17187.72,49.28,18963.559,12775.84,1215.0599,317.24,54.0,-9.45,14597.12,61634.56,58.5,498.63892,70.57798
22285.05,181.72,25969.02,18082.68,2091.32,246.4,-21.6,55.350002,21063.68,86693.12,58.5,526.7116,78.66199
19442.76,144.76,21647.78,14054.04,1358.2799,210.98,20.25,22.95,16770.56,70449.92,58.5,503.2085,71.697624
17266.02,83.159996,17337.32,11134.2,894.74,343.41998,97.200005,-31.050001,14103.04,57103.36,58.5,453.72043,67.84161
16258.561,89.32,20351.1,13755.279,1364.44,-3.08,83.700005,-2.7,16700.16,64449.277,58.5,565.83997,85.57033
19012.11,115.5,26780.6,18339.86,2071.3,164.78,21.6,-33.75,20613.12,87470.08,58.5,636.8884,90.37849
16130.67,87.78,18532.36,12444.739,1455.2999,189.42,-18.9,-24.300001,14982.399,58816.0,58.6,519.2751,77.28157
31952.49,164.78,37766.96,25510.1,2596.44,306.46,-29.7,-59.4,31710.719,122464.0,58.6,534.2566,82.64345
17827.17,100.1,20862.379,13618.22,1102.64,309.53998,2.7,8.1,16737.28,65848.32,58.7,528.9515,78.12852
14993.58,113.96,17001.6,11101.859,1228.9199,174.01999,64.8,-17.550001,13420.8,54050.56,58.7,512.4985,74.44033
18992.1,100.1,19678.12,13187.02,1201.2,249.48,48.600002,4.05,15486.72,64065.277,58.7,468.20795,67.72536
18658.89,104.72,20498.94,14332.779,1382.9199,143.22,33.75,-18.9,16610.56,68277.76,58.7,496.50827,74.02898
16513.47,129.36,21054.879,13826.12,1550.7799,70.84,117.450005,-32.4,16974.08,72343.04,58.7,576.38983,85.63202
13455.42,92.399994,15649.4795,9934.54,813.12,231.0,-33.75,22.95,12544.0,50393.598,58.8,525.69275,77.57227
20273.61,135.51999,25842.74,17805.48,1760.22,443.52,-41.850002,-8.1,21379.84,82629.12,58.8,576.2477,87.879974
16304.67,150.92,21195.02,14611.52,1409.1,512.82,183.6,-41.850002,17953.28,71237.12,58.8,587.6763,91.80306
15850.53,103.18,17716.16,11488.399,1001.0,-20.02,114.75,27.0,14241.279,55603.2,58.8,505.1515,74.72439
21212.34,16.939999,20466.6,13618.22,1786.3999,90.86,93.15,47.25,23317.76,66279.68,58.8,435.92996,91.646454
17741.041,175.56,21884.94,14449.819,2094.4,175.56,-9.45,4.05,17925.12,69384.96,58.8,557.6258,84.155655
30101.13,167.86,37791.598,25235.979,2162.16,258.72,95.85,28.35,31034.879,123502.08,58.9,567.54803,85.89561
19823.82,154.0,24045.559,16722.86,1467.62,26.18,4.05,22.95,19736.32,78114.555,58.9,548.29065,82.90916
11881.59,72.38,14074.06,9341.64,830.06,43.12,17.550001,-27.0,10648.319,45196.8,58.9,535.4133,74.53305
17783.67,149.37999,22698.059,15196.72,944.01996,143.22,54.0,-6.75,17461.76,74763.516,58.9,576.99225,81.755554
35857.92,337.25998,50356.457,34409.758,3294.0598,526.68,91.8,36.45,42708.48,165360.64,58.9,634.95264,99.38286
22251.121,152.45999,23281.719,15929.76,1461.46,187.87999,130.95,-40.5,19137.28,73913.6,59.0,472.82486,71.486786
26921.28,52.36,28798.0,19668.879,2156.0,446.59998,-25.65,-33.75,23552.0,92257.28,59.0,483.41922,72.73312
22817.49,86.24,24373.58,16727.48,1729.4199,23.099998,25.65,45.9,19073.28,73544.96,59.0,482.73352,69.45114
15453.811,84.7,15875.859,10465.84,1030.26,161.7,44.55,32.4,12766.72,48590.08,59.0,464.21786,68.62646
27011.76,163.23999,33453.418,22353.1,2031.26,90.86,17.550001,-36.45,27092.479,107930.875,59.0,559.8443,83.53303
67320.6,457.37997,59202.22,40893.16,3578.96,531.3,237.6,-4.05,51331.84,192350.72,59.0,397.23984,63.264244
12563.67,408.09998,81.619995,329.56,548.24,315.69998,-18.9,43.2,1184.0,2721.28,59.1,1.9419465,6.9426556
28209.75,101.64,33730.62,21938.84,2114.42,255.64,155.25,4.05,26895.36,106652.16,59.1,540.47675,79.35422
8632.14,20.02,46.199997,41.579998,186.34,133.98,83.700005,-9.45,471.03998,902.39996,59.1,1.4236963,3.5990682
15401.61,117.03999,19959.94,13356.42,1387.5399,15.4,-41.850002,43.2,16072.96,63886.08,59.1,585.878,86.95495
24517.47,115.5,30542.818,21007.139,1989.6799,40.04,-4.05,5.4,23669.76,96015.36,59.1,563.14166,80.36708
17514.84,97.02,19404.0,12782.0,1073.38,120.119995,-6.75,16.2,15293.439,61488.637,59.2,500.69507,72.59182
22436.43,157.08,22892.1,16049.88,1658.58,204.81999,4.05,-1.35,18801.92,75580.16,59.2,461.04745,69.628334
18450.96,86.24,20395.76,13775.3,1390.62,226.37999,33.75,108.0,16808.959,66287.36,59.2,499.58246,75.780754
17718.42,257.18,-4.62,458.91998,492.8,112.42,28.35,44.55,874.24,1770.24,59.2,-1.1180787,3.1584954
16824.06,61.6,20271.02,13462.68,1486.1,4.62,128.25,62.100002,16954.879,65977.6,59.3,544.6316,83.93651
23257.71,124.74,23558.92,15618.68,1379.84,308.0,66.15,-27.0,20090.879,77998.08,59.3,457.71518,71.805214
22175.43,132.44,24119.479,16180.779,1490.72,251.01999,45.9,81.0,20730.879,81399.04,59.3,491.55026,77.790924
25448.371,92.399994,28796.459,19222.28,2194.5,110.88,31.050001,24.300001,22991.36,90092.8,59.3,511.42914,75.14392
25082.97,186.34,30184.0,20711.459,2023.5599,657.57996,130.95,60.75,24583.68,95728.64,59.4,543.9448,81.6035
25138.65,89.32,34086.36,22636.459,2168.3198,235.62,155.25,12.150001,26768.639,110278.4,59.4,613.0354,88.74596
14279.311,30.8,18144.28,12912.899,1401.4,343.41998,29.7,-6.75,14864.64,61027.84,59.4,574.423,86.73597
20516.34,120.119995,24268.86,16442.58,1781.7799,243.31999,55.350002,66.15,19316.48,79271.68,59.4,534.6785,78.35214
9252.45,180.18,70.84,258.72,474.31998,126.28,35.100002,36.45,697.6,1806.08,59.4,2.4671807,5.354483
20922.63,180.18,24661.559,16990.82,1832.6,32.34,6.75,36.45,20300.799,78758.4,59.5,532.7759,80.77628
21042.69,110.88,25790.379,17021.62,1843.38,238.7,-1.35,-13.5,20314.879,85351.68,59.5,554.02325,80.366104
22277.22,56.98,23004.52,15701.84,1446.0599,86.24,16.2,79.65,18553.6,73539.836,59.5,466.63483,69.193634
16422.99,101.64,15364.58,10151.68,1008.69995,113.96,28.35,-63.45,12858.88,49735.68,59.6,422.66556,64.99051
30226.41,115.5,39168.36,26500.32,2400.8599,423.5,-21.6,-6.75,31665.92,124044.8,59.7,585.8181,87.29499
11673.66,47.739998,13718.319,9041.34,802.33997,187.87999,-56.7,-14.85,11169.279,45178.88,59.7,531.1678,79.639656
12840.33,78.54,14217.279,10294.899,808.5,-16.939999,10.8,32.4,11810.56,49040.64,59.7,500.41235,76.52198
25822.47,180.18,31916.5,21091.84,2051.28,204.81999,75.6,63.45,25527.04,102704.64,59.7,558.7218,82.31692
14866.561,73.92,13045.34,8714.859,591.36,303.38,-51.3,-21.6,10757.12,41250.56,59.8,396.37415,59.98402
22500.81,154.0,27099.379,19071.36,1613.9199,204.81999,-21.6,60.75,21704.959,89196.8,59.8,544.40094,80.30015
15267.63,149.37999,16553.459,11060.279,867.01996,50.82,86.4,-39.15,13420.8,53785.598,59.8,489.9891,73.086205
18484.89,89.32,20506.639,13961.64,1724.7999,84.7,60.75,-9.45,16275.199,63978.24,59.8,501.37994,73.20616
17497.44,69.299995,19011.299,12940.62,1079.5399,361.9,-6.75,-17.550001,15738.88,62425.598,59.8,491.03046,74.81059
39405.78,221.76,44778.58,30327.219,2765.8398,357.28,130.95,5.4,36465.918,144574.72,59.9,513.5944,76.993385
20913.06,69.299995,18111.94,11982.739,739.19995,166.31999,74.25,5.4,15384.319,58086.4,59.9,391.19504,60.999935
20262.3,61.6,23943.92,16237.76,1617.0,391.16,-32.4,59.4,18973.44,77329.92,59.9,534.1323,77.92014
28022.7,95.479996,22072.82,15375.359,1600.0599,144.76,22.95,-10.8,17637.12,70161.92,60.0,355.69955,52.045464
16261.17,70.84,16447.2,10910.899,1119.58,109.34,-55.350002,22.95,13697.279,52309.758,60.0,457.03098,69.9926
24462.66,133.98,31064.879,21292.04,2362.3599,308.0,-20.25,-36.45,24970.24,98822.4,60.0,574.06995,85.02994
21008.76,63.14,23321.76,16283.96,1784.86,184.79999,5.4,21.6,18773.76,75738.875,60.0,501.7078,74.31498
27505.92,252.56,26592.719,18262.86,1640.1,254.09999,45.9,1.35,22184.959,85543.68,60.0,436.81567,66.97716
18859.86,158.62,22955.24,14871.779,1536.9199,109.34,17.550001,-13.5,17952.0,70457.6,60.1,550.1859,79.22411
23557.86,147.84,21698.6,15027.319,1299.76,32.34,31.050001,-21.6,17390.08,71398.4,60.1,416.11002,61.21517
19581.09,118.579994,27804.7,18794.16,1857.24,366.52,49.95,51.3,22899.2,90421.76,60.1,642.0371,97.56302
25024.68,141.68,31908.799,22001.979,2174.48,183.26,-4.05,-39.15,26037.76,107892.48,60.1,576.4264,86.693146
13726.86,61.6,14435.96,9800.56,1070.2999,415.8,81.0,16.2,11161.6,46580.48,60.1,475.24362,67.53079
32357.91,706.86,218.68,996.38,1977.36,680.68,445.5,79.65,3429.1199,6321.92,60.1,2.060436,7.931672
15431.19,150.92,19570.32,12989.899,1355.2,180.18,-22.95,47.25,15384.319,65319.68,60.1,573.31903,83.02517
18359.61,104.72,18262.86,12977.58,1475.32,50.82,16.2,36.45,15640.319,61483.52,60.1,449.46396,70.79806
15920.13,146.3,18783.379,13200.88,1233.5399,104.72,45.9,31.050001,14979.84,61021.438,60.2,533.29584,78.303276
14091.39,84.7,15524.739,10567.4795,1111.88,117.03999,118.8,-31.050001,13088.0,50382.08,60.2,497.91342,77.279854
13019.55,33.879997,14804.02,9889.88,1068.76,40.04,44.55,-60.75,12396.8,49838.08,60.2,513.9184,79.24984
15417.2705,100.1,14828.659,9737.42,1099.5599,314.16,-17.550001,8.1,12960.0,49506.56,60.2,434.56113,69.848076
12582.811,36.96,14994.9795,10057.74,893.19995,150.92,-28.35,21.6,11810.56,46227.2,60.2,538.6634,78.10854
23235.96,66.22,25235.979,17284.959,1829.5199,107.799995,159.3,48.600002,20158.719,79978.234,60.2,490.8291,72.11944
20157.03,137.06,23615.9,16066.819,1492.26,515.89996,49.95,24.300001,18763.52,75907.836,60.3,529.5578,77.45458
23662.26,133.98,26166.139,17973.34,1778.7,257.18,137.7,21.6,22307.84,85747.195,60.4,499.76984,78.45694
20742.541,123.2,23788.379,16170.0,1661.6599,83.159996,166.05,36.45,19840.0,77441.28,60.4,518.3469,79.61396
11283.03,157.08,113.96,150.92,472.78,106.259995,-31.050001,85.05,641.27997,1652.48,60.4,3.5738444,3.790187
17797.59,110.88,20899.34,14388.22,1521.52,140.14,49.95,5.4,16613.12,66763.516,60.5,530.77277,77.672066
12909.93,101.64,14657.72,10083.92,1195.0399,212.51999,-39.15,21.6,11919.359,46082.56,60.6,513.15875,76.81433
13263.15,46.199997,14198.8,9715.859,770.0,53.899998,-12.150001,8.1,11441.92,44391.68,60.6,483.79672,71.70809
14397.63,110.88,19214.58,12883.64,1621.62,23.099998,-31.050001,32.4,14625.279,64156.16,60.6,603.35846,84.613785
15305.04,83.159996,17315.76,11585.42,1290.52,90.86,48.600002,28.35,14292.4795,55706.88,60.6,511.34418,77.70524
13331.88,44.66,14705.46,9842.14,910.13995,103.18,43.2,-90.450005,12170.239,49393.918,60.6,498.50742,75.93753
25216.95,110.88,24586.1,16616.6,1547.7,277.19998,25.65,-5.4,20757.76,78485.76,60.7,440.52145,68.37747
19305.3,135.51999,18279.799,12089.0,1433.74,311.08,17.550001,13.5,15136.0,57034.24,60.7,427.79483,65.07925
65493.6,147.84,72.38,343.41998,534.38,235.62,64.8,56.7,1286.4,2767.3599,60.8,-0.4995342,0.65541816
14575.11,64.68,46.199997,123.2,6.16,-3.08,-1.35,-72.9,67.84,399.36,60.8,0.43543923,-0.6077125
16345.561,178.64,17977.959,12279.96,1309.0,89.32,17.550001,10.8,14917.12,58941.438,60.9,497.07565,75.915825
