FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
10033.71,190.95999,55.44,77.0,113.96,58.519997,8.1,21.6,11872.0,6009.6,58.0,1.5021675,98.72244
15684.36,217.14,-10.78,13.86,155.54,-35.42,-8.1,1.35,15153.92,7441.92,58.0,-1.3112481,80.43081
10568.76,166.31999,66.22,209.44,146.3,9.24,66.15,72.9,11379.2,7170.56,58.0,1.8373954,89.74407
22440.78,358.81998,152.45999,297.22,172.48,104.72,51.3,-5.4,22696.959,14368.0,58.0,2.0766115,84.24331
32365.74,599.06,237.15999,594.44,500.5,-41.579998,125.55,-45.9,27462.398,18231.04,58.0,2.3182614,70.51275
15537.33,246.4,124.74,291.06,200.2,38.5,40.5,91.8,13077.76,8298.24,58.1,2.6356668,69.9394
13446.72,149.37999,89.32,161.7,147.84,-49.28,-25.65,12.150001,12482.56,7989.76,58.1,2.008064,77.23802
9354.24,84.7,-30.8,121.659996,164.78,21.56,82.35,35.100002,11372.8,5786.88,58.1,-2.491066,101.46828
9339.45,115.5,-40.04,138.59999,21.56,10.78,22.95,56.7,12098.56,7013.1196,58.2,-2.9414556,108.179955
19441.89,266.41998,50.82,106.259995,150.92,-20.02,4.05,-6.75,24156.16,12835.84,58.2,0.18372512,103.71767
56871.9,1598.52,588.27997,1673.98,1045.66,135.51999,310.5,51.3,36817.918,29424.639,58.2,3.6842608,53.56222
27199.68,181.72,120.119995,349.58,301.84,215.59999,168.75,75.6,814.07996,1337.6,58.2,0.99989057,1.5225153
17253.84,232.54,55.44,147.84,303.38,-40.04,54.0,-21.6,15764.4795,10342.399,58.3,0.45509768,76.005974
12557.58,209.44,97.02,215.59999,46.199997,157.08,-75.6,20.25,8925.439,5749.76,58.3,2.4987266,58.903778
12782.04,264.88,0.0,144.76,217.14,50.82,63.45,37.8,16037.12,8709.12,58.3,-1.0,104.74425
17179.02,246.4,124.74,166.31999,127.82,-29.259998,68.85,21.6,13720.319,9038.08,58.3,2.2882292,66.31261
8570.37,112.42,-35.42,246.4,123.2,175.56,148.5,-16.2,9657.6,5081.6,58.4,-2.8715596,93.973
13659.87,152.45999,55.44,58.519997,157.08,20.02,-64.8,45.9,14871.04,7906.56,58.4,0.8379401,90.75407
19596.75,274.12,129.36,280.28,201.73999,133.98,-54.0,48.600002,16348.159,10289.92,58.4,1.9893081,69.309715
22543.44,255.64,144.76,418.88,458.91998,195.58,117.450005,-22.95,27808.0,16446.719,58.4,1.9079244,102.96331
16576.98,101.64,24.64,383.46,164.78,-1.54,229.5,39.15,381.44,879.36,58.4,-0.3268839,0.93932843
10904.58,127.82,35.42,13.86,166.31999,-33.879997,40.5,70.200005,12217.6,6769.92,58.4,0.47093785,93.42946
13480.65,232.54,9.24,121.659996,218.68,-16.939999,124.200005,4.05,20545.28,11560.96,58.5,-0.68960416,127.44931
28700.43,434.28,178.64,364.97998,226.37999,86.24,59.4,-28.35,23947.52,15641.6,58.5,1.818675,69.32385
13825.17,190.95999,83.159996,155.54,144.76,-26.18,145.8,25.65,12312.319,7618.56,58.5,1.7239473,74.05851
17707.98,249.48,170.94,486.63998,303.38,36.96,10.8,27.0,12665.6,8538.88,58.6,3.371489,59.281944
16586.55,133.98,33.879997,166.31999,297.22,27.72,49.95,10.8,15946.239,8302.08,58.6,-0.07499945,80.02756
16871.041,141.68,29.259998,78.54,115.5,64.68,109.35,-56.7,16524.799,9004.8,58.7,-0.21460676,81.551476
16941.51,215.59999,127.82,284.9,50.82,-29.259998,54.0,-60.75,10489.6,7436.8,58.8,2.4166572,51.184
19904.73,284.9,218.68,354.19998,215.59999,77.0,14.85,-8.1,17913.6,12573.439,58.8,3.975165,74.850266
42476.88,660.66,341.88,651.42,374.22,215.59999,97.200005,-16.2,38543.36,25131.52,58.8,2.644818,75.47641
21835.26,540.54,56.98,118.579994,93.939995,67.759995,226.8,47.25,63425.277,33646.08,58.8,0.18173146,243.81303
15090.15,143.22,13.86,95.479996,221.76,1.54,16.2,68.85,19214.08,10440.96,58.9,-0.58406603,106.31405
19708.98,352.66,206.36,474.31998,180.18,41.579998,41.850002,27.0,19887.36,13287.68,58.9,3.7415037,84.04396
14345.43,194.04,117.03999,349.58,118.579994,123.2,43.2,27.0,12683.52,7991.04,58.9,2.6946683,73.51724
22882.74,395.78,240.23999,709.94,666.82,184.79999,224.1,1.35,21808.639,13178.88,58.9,3.7543592,79.325066
17036.34,264.88,87.78,332.63998,364.97998,97.02,-8.1,41.850002,15050.239,10202.88,59.0,1.3333182,73.45565
45558.42,725.33997,283.36,860.86,357.28,92.399994,139.05,22.95,42595.84,27632.639,59.0,1.816596,77.800514
14646.45,169.4,178.64,243.31999,249.48,-16.939999,-49.95,40.5,11942.399,7934.7197,59.0,4.5233307,67.72105
74257.11,506.65997,126.28,757.68,1267.4199,555.94,1003.05,113.4,11114.24,9909.76,59.0,-0.22989267,11.614565
12321.811,92.399994,-27.72,-24.64,67.759995,1.54,52.65,25.65,10263.04,5408.0,59.0,-2.0187635,69.19918
20476.32,283.36,155.54,518.98,124.74,66.22,20.25,-22.95,15215.359,10136.319,59.1,2.4398925,61.62689
17161.62,291.06,80.08,366.52,194.04,63.14,60.75,10.8,14817.279,9701.12,59.1,1.1131024,71.76805
10718.4,130.9,80.08,155.54,189.42,3.08,5.4,-21.6,9634.56,6702.08,59.2,2.3833647,74.75869
27489.39,462.0,204.81999,548.24,323.4,36.96,270.0,-48.600002,20104.959,12921.6,59.2,2.3741312,60.64085
11109.03,186.34,53.899998,141.68,107.799995,-26.18,31.050001,44.55,19037.44,9647.359,59.2,1.1971884,143.43184
20518.95,383.46,120.119995,431.19998,-13.86,-10.78,89.1,-17.550001,16913.92,10394.88,59.3,1.6510317,68.47359
15584.311,101.64,78.54,178.64,249.48,223.29999,17.550001,27.0,581.12,1139.2,59.3,1.2822227,2.1427424
13518.93,221.76,178.64,195.58,155.54,-16.939999,125.55,83.700005,10488.319,7112.96,59.3,4.9839935,64.387405
13334.49,155.54,93.939995,73.92,243.31999,46.199997,109.35,-22.95,14552.319,7827.1997,59.3,2.1902802,90.9785
12795.96,189.42,9.24,-29.259998,-44.66,-23.099998,-18.9,66.15,13080.319,7210.2397,59.3,-0.67299545,85.15412
16292.49,177.09999,135.51999,121.659996,152.45999,47.739998,156.6,55.350002,18141.44,9294.08,59.3,2.766783,92.845795
16035.84,274.12,127.82,295.68,358.81998,149.37999,45.9,18.9,11820.8,8551.68,59.3,2.609623,61.127758
12333.99,63.14,60.059998,117.03999,186.34,29.259998,-21.6,17.550001,10343.68,6728.96,59.3,1.2051413,69.680885
