FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
31104.24,267.96,10780.0,7898.6597,902.44,303.38,68.85,16.2,41850.88,49829.117,56.4,155.94731,112.40064
24735.84,226.37999,6700.54,4847.92,555.94,21.56,-14.85,45.9,27192.32,32860.16,56.4,121.66985,91.65102
16533.48,97.02,4866.4,3172.4,287.97998,-12.32,33.75,22.95,17976.32,23362.559,56.4,132.2902,90.6362
24533.13,178.64,6061.44,4034.7998,423.5,164.78,40.5,25.65,23627.52,27868.16,56.5,110.88647,80.17003
25390.08,237.15999,8295.9795,5705.6997,709.94,7.7,44.55,6.75,30711.04,38040.32,56.5,146.96477,100.94383
17191.2,133.98,5363.82,3469.6199,349.58,-56.98,-31.050001,27.0,22245.12,25196.799,56.5,140.29367,108.058395
27070.92,183.26,8146.5996,5967.5,483.56,-27.72,-41.850002,51.3,29258.24,36505.598,56.5,135.27873,90.09105
32054.28,278.74,10405.779,7410.48,867.01996,172.48,52.65,67.5,37030.4,47500.8,56.5,146.00879,96.36501
12822.93,78.54,2477.8599,1943.48,140.14,13.86,-86.4,-41.850002,9767.68,12140.8,56.6,86.50728,63.19995
23739.69,154.0,6776.0,4599.98,589.82,-33.879997,49.95,6.75,26205.44,29468.16,56.6,128.25671,92.035126
14850.9,86.24,4171.86,2702.7,472.78,50.82,87.75,-6.75,15797.76,18698.24,56.6,126.21305,88.65474
21520.32,160.16,6338.6396,4640.02,485.09998,103.18,-10.8,83.700005,23962.879,29390.08,56.6,132.38348,92.84709
23895.42,198.65999,5864.32,3842.2998,471.24,143.22,-18.9,49.95,23294.719,26634.24,56.6,110.13675,81.162445
25701.541,174.01999,6267.8,4033.26,722.26,152.45999,37.8,-55.350002,27910.398,31308.799,56.6,109.436,90.52451
22774.86,113.96,5482.4,3857.7,557.48,112.42,114.75,22.95,23778.559,26059.52,56.6,108.01085,86.995476
28415.94,154.0,9086.0,6232.38,777.69995,64.68,149.85,-10.8,37908.48,44322.56,56.6,143.79897,111.43587
17062.44,120.119995,4425.96,2716.5598,508.19998,104.72,47.25,-37.8,18543.36,21113.6,56.7,116.4684,90.596275
27165.75,166.31999,7127.1196,4895.6597,688.38,-4.62,82.35,54.0,28824.32,34497.277,56.7,117.80838,88.42685
33688.14,395.78,13735.26,9831.359,940.94,198.65999,55.350002,35.100002,57413.117,64277.758,56.7,183.63522,142.63644
21107.94,178.64,5450.06,3816.1199,471.24,75.46,10.8,18.9,22469.12,27116.799,56.7,115.92576,88.71618
18423.99,163.23999,3957.7998,2548.7,278.74,20.02,-27.0,37.8,19137.28,20554.24,56.7,96.28029,86.544136
54290.61,478.94,20836.2,14451.359,1789.48,229.45999,-4.05,33.75,74954.24,97766.4,56.7,172.79948,115.35955
26255.73,143.22,6863.78,5012.6997,740.74,30.8,130.95,-45.9,26690.559,31683.84,56.7,117.384254,84.67697
42885.78,315.69998,15618.68,11539.22,1444.52,300.3,47.25,-16.2,66524.16,76407.04,56.7,163.9247,129.73642
23143.74,109.34,5386.92,3845.38,411.18,27.72,24.300001,24.300001,21379.84,25175.04,56.8,104.40512,76.85767
24907.23,175.56,8228.22,5631.78,700.7,60.059998,8.1,1.35,28734.719,36551.68,56.8,148.60123,96.23263
22494.72,197.12,5434.6597,4037.88,371.13998,-46.199997,59.4,-2.7,23014.4,26054.4,56.8,108.40734,85.22826
13947.84,155.54,80.08,72.38,198.65999,170.94,37.8,36.45,505.59998,1140.48,56.8,1.5999908,2.0551367
19721.16,158.62,5426.96,4011.7,517.44,-32.34,-5.4,21.6,22553.6,26502.398,56.8,123.61746,95.386
