FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
22376.4,217.14,28753.34,19063.66,2559.48,246.4,29.7,74.25,24423.68,92997.12,54.8,580.90594,90.99229
18990.36,150.92,24328.92,16394.84,1837.22,163.23999,171.45,121.5,19537.92,76733.44,54.8,579.1554,85.711296
16896.27,121.659996,17708.459,12535.6,1150.38,207.9,116.1,5.4,15175.68,58402.56,54.8,473.61847,74.69861
19220.91,118.579994,25659.479,17280.34,1798.72,277.19998,43.2,20.25,22599.68,82042.875,54.9,603.5449,98.09663
13815.6,53.899998,17454.36,11773.3,1270.5,258.72,79.65,-44.55,14283.52,57493.758,54.9,571.1223,86.13568
11860.71,27.72,13462.68,8559.319,737.66,231.0,6.75,13.5,11470.08,44581.117,54.9,513.0147,80.50539
15330.2705,118.579994,21612.36,15036.56,1519.98,452.75998,171.45,67.5,17689.6,69267.195,55.0,637.42084,96.252045
13065.66,36.96,13627.46,8979.74,1102.64,278.74,78.3,-40.5,11732.4795,44194.56,55.0,471.3221,74.681366
16804.05,83.159996,17783.92,11699.38,1516.8999,135.51999,126.9,67.5,14425.6,57030.4,55.0,478.2567,71.35198
16371.66,63.14,19866.0,13424.18,1495.34,121.659996,151.2,-33.75,16257.279,63178.24,55.1,548.506,82.69234
26615.91,109.34,29731.24,19530.28,2191.42,375.75998,117.450005,-51.3,24929.28,94439.68,55.1,504.85544,77.94033
13110.03,112.42,14665.42,9578.8,916.3,-16.939999,58.05,17.550001,12149.76,45908.48,55.2,505.57703,77.10783
25539.72,117.03999,31982.719,21519.959,2183.72,132.44,140.40001,-14.85,27790.08,103495.68,55.2,566.0926,90.70736
21341.1,77.0,25309.898,16863.0,1490.72,355.74,10.8,49.95,20766.719,79093.76,55.2,536.06683,81.0128
16205.49,203.28,22779.68,15199.8,1304.38,109.34,71.55,27.0,18273.28,74202.875,55.2,635.5612,94.03528
13864.32,63.14,17017.0,12016.62,1239.7,221.76,-18.9,-62.100002,14287.359,53724.16,55.2,554.82635,85.85282
12851.64,35.42,15349.18,10743.04,1148.84,100.1,128.25,-16.2,13542.399,52565.758,55.3,539.8556,87.81117
17975.94,160.16,22768.9,15728.02,1632.3999,251.01999,36.45,18.9,18891.52,75280.64,55.3,572.5947,87.57391
17351.28,124.74,19906.04,13082.3,1134.98,60.059998,45.9,-63.45,16965.12,64398.08,55.4,518.5269,81.40546
14207.1,50.82,12706.54,8365.28,936.31995,7.7,36.45,-33.75,10539.52,40247.04,55.4,404.02014,61.52388
15813.12,95.479996,18780.299,13046.88,1350.58,104.72,97.200005,31.050001,15479.04,59258.88,55.5,536.82336,81.50058
23709.24,218.68,35626.36,23736.02,2479.4,482.02,178.2,87.75,29445.12,111220.48,55.7,679.4693,103.67096
19267.89,123.2,23642.08,15680.279,1851.08,187.87999,213.3,25.65,20072.959,77056.0,55.7,554.6563,86.80267
25932.09,174.01999,31091.059,21834.12,1866.48,545.16,87.75,49.95,26714.879,102229.76,55.7,541.9411,85.82529
13529.37,41.579998,15617.14,10807.72,1079.5399,235.62,195.75,-35.100002,13308.16,50493.438,55.7,521.73145,81.903145
15386.82,69.299995,17807.02,12380.06,1205.82,77.0,29.7,16.2,15192.319,56670.72,55.7,523.0794,82.21579
18974.7,86.24,22588.719,15255.239,1158.08,204.81999,184.95,-31.050001,18306.56,73514.24,55.7,538.1026,80.31345
17319.96,93.939995,20312.6,14152.6,1287.44,229.45999,109.35,-29.7,18320.639,66138.875,55.7,530.0963,88.1506
19281.81,47.739998,23919.28,15241.38,2071.3,218.68,109.35,18.9,19680.0,75127.04,56.0,560.7654,85.02166
20375.4,70.84,20814.639,14001.68,1205.82,287.97998,44.55,44.55,17943.04,68386.555,56.0,461.6126,73.2199
13687.71,107.799995,14950.319,10324.16,890.12,264.88,145.8,91.8,12903.68,48631.04,56.1,493.6231,78.45355
15787.0205,53.899998,16407.16,11046.42,1219.6799,-32.34,5.4,29.7,13818.88,53212.16,56.1,469.63904,72.77398
21457.68,167.86,23717.54,16111.4795,1493.7999,67.759995,175.5,25.65,19968.0,76298.24,56.2,499.5432,77.43002
