FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
18725.88,150.34999,19083.6,12381.399,1258.6,252.65,51.3,35.100002,18727.68,64094.72,53.5,460.50113,83.28927
22594.77,182.9,26497.25,17470.049,1793.35,120.899994,102.6,-66.15,24834.559,85556.48,53.6,530.06494,91.63584
35136.69,289.85,47974.047,32582.549,3521.5999,571.95,164.7,-32.4,44757.758,154848.0,53.6,617.30133,106.35889
13576.35,79.049995,14283.25,9592.949,917.6,110.049995,28.35,-27.0,13015.04,45410.56,53.6,475.4296,79.79659
15371.16,203.04999,19037.1,12598.399,824.6,381.3,259.2,31.050001,16787.2,62024.957,53.8,559.8527,91.04542
17376.51,133.3,18755.0,12641.8,1120.65,193.75,54.0,18.9,16714.24,59696.637,53.8,487.7753,80.06896
15613.89,150.34999,17570.799,11699.399,931.55,182.9,89.1,78.3,15566.08,57224.957,53.8,508.6067,83.023094
19467.99,186.0,21531.049,14167.0,1455.45,423.15,-37.8,1.35,20103.68,71732.48,53.9,499.83972,86.03321
18655.41,209.25,20762.25,13663.25,1627.5,85.25,54.0,44.55,18909.44,65973.76,54.0,502.99277,84.42882
21322.83,215.45,18322.549,12688.3,930.0,173.59999,22.95,21.6,19312.639,55927.04,54.0,388.13095,75.33563
17680.14,186.0,20915.7,14128.25,1694.1499,145.7,85.05,-49.95,18110.719,64300.797,54.1,534.72437,85.33373
26747.28,158.09999,36339.75,24995.299,2910.9,536.3,206.55,-22.95,31946.24,114933.76,54.1,614.2577,99.66319
18676.291,124.0,20636.7,13646.199,1396.5499,190.65,14.85,-14.85,19320.32,65361.918,54.1,499.38504,86.1875
27337.14,162.75,28870.299,19130.1,2134.3499,110.049995,172.8,2.7,26344.959,91720.96,54.1,477.2477,80.222244
12521.91,71.299995,12249.649,8228.95,768.8,108.5,58.05,-17.550001,11148.8,40776.96,54.2,442.00415,74.03918
19144.35,170.5,22171.2,14732.75,1492.6499,182.9,294.30002,1.35,20720.639,71737.6,54.3,523.44904,90.22063
23382.121,111.6,26191.898,17353.799,1841.3999,223.2,45.9,22.95,24552.959,85564.16,54.3,506.26837,87.50147
19541.94,124.0,20757.6,13892.649,1106.7,195.29999,93.15,-48.600002,20451.84,66252.8,54.4,480.02115,87.205414
24282.57,258.85,28192.95,19407.549,2297.0999,398.34998,139.05,1.35,25836.799,88638.72,54.4,524.7758,88.67567
15885.33,165.84999,14447.55,9676.649,885.05,122.45,-9.45,-12.150001,13661.439,48855.04,54.5,410.86288,71.48209
16861.47,175.15,17645.2,11917.949,1012.14996,199.95,189.0,14.85,16000.0,58252.797,54.5,472.89902,78.97515
16275.09,82.149994,16222.3,10741.5,1085.0,38.75,78.3,-12.150001,14533.12,52071.68,54.5,450.38147,74.26031
19558.47,158.09999,22089.049,14351.449,1170.25,325.5,175.5,-29.7,19740.16,69696.0,54.5,510.4425,84.064095
19647.21,226.29999,20227.5,14134.449,1605.7999,110.049995,5.4,-54.0,18668.799,66741.76,54.5,465.2255,79.084045
24836.76,165.84999,31303.799,21374.5,1791.7999,347.19998,45.9,8.1,28399.36,101603.836,54.6,569.7643,95.37051
35112.332,275.9,37291.45,24702.35,2276.95,429.34998,72.9,41.850002,34858.24,118122.234,54.7,479.95483,82.67126
19330.53,137.95,22833.049,15239.6,1317.5,395.25,155.25,63.45,19919.36,72890.875,54.7,533.90283,85.84847
17905.47,186.0,18293.1,11917.949,988.89996,106.95,-86.4,-20.25,16477.44,59385.598,54.7,461.65396,76.55941
16770.12,187.54999,18054.4,12215.55,1238.45,147.25,12.150001,-47.25,16235.52,58598.4,54.7,486.5303,80.594444
28785.69,265.05,24076.148,16448.6,1395.0,137.95,68.85,-41.850002,27328.0,70767.36,54.8,377.76086,79.01322
20827.8,159.65,22076.648,14743.6,1317.5,230.95,51.3,21.6,20802.559,72698.875,54.8,479.00354,83.17902
27415.44,213.9,30748.898,21585.299,2369.95,537.85,113.4,29.7,27873.28,99033.6,54.8,506.91272,84.68867
18039.45,151.9,18502.35,12829.35,1429.1,186.0,54.0,31.050001,17852.16,58618.88,54.8,463.47067,82.40614
17570.52,130.2,20266.25,14100.35,1292.7,447.94998,13.5,-20.25,19016.959,64140.797,55.0,521.32825,90.21936
17384.34,79.049995,19282.0,12444.949,1562.3999,110.049995,129.6,63.45,17358.08,62478.08,55.0,501.28314,83.153854
15081.45,113.149994,16651.65,11062.35,1204.35,93.0,58.05,13.5,14812.16,53274.88,55.1,498.99872,81.77627
20438.041,178.25,18530.25,12654.199,1209.0,116.25,43.2,0.0,17733.12,60807.68,55.1,409.57898,72.12678
17272.11,190.65,19919.049,13917.449,978.05,339.44998,172.8,8.1,18158.08,61934.08,55.2,521.2494,87.60436
30616.17,354.94998,35321.4,23270.148,2204.0999,347.19998,68.85,-14.85,32422.398,110983.68,55.2,521.4464,88.2534
21810.9,229.4,23857.6,16285.85,1639.8999,203.04999,89.1,-20.25,21378.559,76966.4,55.5,494.3451,81.61052
26637.66,325.5,32822.8,22313.799,2208.75,519.25,267.30002,21.6,30757.12,105372.16,55.5,557.0001,96.31508
18296.1,167.4,20401.1,13392.0,1103.6,272.8,18.9,-48.600002,18539.52,66824.96,55.6,503.95163,84.40248
13485.87,116.25,13268.0,8816.399,717.64996,141.05,64.8,-4.05,11714.56,42164.48,55.6,444.53436,72.2112
26281.83,223.2,30824.85,20432.1,2044.45,279.0,8.1,28.35,28778.24,98588.16,55.6,530.129,91.28671
17975.94,206.15,20246.1,13550.1,1111.35,224.75,9.45,-6.75,19151.36,64206.08,55.7,509.04028,88.79219
14883.09,155.0,14853.649,11079.399,934.64996,-6.2,102.6,10.8,14210.56,47705.598,55.7,450.9546,79.47271
13511.1,57.35,14672.3,10405.149,837.0,161.2,37.8,0.0,13372.16,48007.68,55.8,490.7702,82.414474
52233.93,961.0,59502.95,40162.047,3662.65,850.94995,45.9,25.65,61912.32,179974.39,55.8,514.8703,98.897575
19367.07,155.0,22488.95,15427.149,1542.25,189.09999,16.2,-4.05,19983.36,72311.04,55.8,524.84766,85.96312
17805.42,148.79999,20022.898,13215.3,818.39996,147.25,10.8,14.85,18580.48,64380.16,56.0,508.2481,86.94988
14723.01,130.2,15425.6,10600.449,939.3,62.0,55.350002,29.7,13504.0,49758.72,56.0,473.46063,76.30301
26121.75,217.0,29839.049,19576.5,1667.7999,241.79999,20.25,-47.25,27439.36,95235.836,56.0,516.294,87.532394
18906.84,255.74998,19136.299,12668.149,1176.45,271.25,149.85,14.85,17957.12,61574.4,56.1,457.3463,79.04759
17329.53,161.2,21326.45,14692.449,1477.1499,230.95,27.0,18.9,19457.28,70383.36,56.1,556.29675,93.62936
25256.97,286.75,26756.1,17218.95,1506.6,156.54999,87.75,-17.550001,24465.92,88474.875,56.2,478.7293,80.64147
22153.68,148.79999,23370.898,16106.05,1272.5499,413.84998,66.15,45.9,21687.04,74120.96,56.2,476.7319,81.50588
20356.26,198.4,23905.648,15828.6,1413.6,96.1,18.9,-17.550001,21886.719,78895.36,56.3,530.8109,89.617744
14456.79,156.54999,13866.3,9388.35,939.3,117.799995,32.4,27.0,13043.2,44788.48,56.4,433.3536,75.04012
11723.25,114.7,11483.949,8233.6,987.35,37.199997,110.700005,20.25,10484.4795,37771.52,56.4,442.60654,74.37536
21863.1,181.34999,22123.148,14515.75,1426.0,4.6499996,12.150001,9.45,21276.16,68833.28,56.4,457.2368,81.01855
27083.1,203.04999,30012.648,20402.648,1830.5499,604.5,85.05,-4.05,27878.398,100340.48,56.4,500.83466,85.756096
18658.89,151.9,22733.85,15346.55,1650.75,288.3,-18.9,-18.9,20792.32,72215.04,56.4,550.74945,92.917755
25754.61,178.25,36172.348,24386.148,2174.65,358.05,307.80002,45.9,32096.0,117704.96,56.5,635.0283,104.03318
14716.05,128.65,15146.6,10154.05,897.44995,-1.55,-28.35,12.150001,13939.199,48559.36,56.5,465.0995,78.83202
25697.19,168.95,31331.7,20768.45,2059.95,348.75,307.80002,39.15,27573.76,98705.914,56.6,551.14484,89.43591
13730.34,116.25,13016.899,9030.3,905.19995,342.55,-35.100002,52.65,12014.08,42452.48,56.7,428.31985,72.74622
14494.2,144.15,14619.6,9535.6,1012.14996,48.05,21.6,27.0,13263.359,47723.52,56.8,455.7683,76.124054
21402.0,181.34999,25192.148,16220.749,1571.7,106.95,197.1,18.9,22512.639,80843.516,56.9,532.04706,87.65487
18406.59,103.85,20780.85,14487.85,1432.2,46.5,148.5,-14.85,18718.719,65748.48,56.9,510.2634,84.71036
23825.82,175.15,27672.148,18606.2,1559.2999,40.3,18.9,60.75,25008.639,88111.36,56.9,524.95636,87.46525
16474.32,122.45,17755.25,11727.3,1556.2,-24.8,167.40001,18.9,16056.319,58091.52,57.0,487.06085,81.142715
20478.06,172.04999,21393.1,14571.55,1300.45,-3.1,64.8,45.9,20107.52,67424.0,57.0,472.08545,81.75614
15309.39,103.85,16278.1,11040.649,943.94995,71.299995,48.600002,49.95,15168.0,52518.4,57.2,480.50473,82.50279
