FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
23277.72,282.1,11094.899,7847.65,787.39996,60.449997,24.300001,51.3,25185.28,42791.68,54.4,214.84283,90.18783
17521.8,359.59998,1489.5499,1123.75,213.9,38.75,103.950005,66.15,24794.879,17729.28,54.4,37.497368,118.26521
16014.09,159.65,6142.65,4039.2998,347.19998,117.799995,59.4,24.300001,17502.719,24806.4,54.5,172.70335,91.11573
18174.3,246.45,9127.95,6334.8496,558.0,-18.599998,13.5,66.15,19598.08,34845.438,54.5,226.44177,89.88378
15908.82,187.54999,8618.0,6014.0,630.85,74.399994,66.15,-10.8,18816.0,33020.16,54.5,244.3145,98.68272
15827.91,227.84999,3158.9,2365.3,325.5,89.899994,25.65,-31.050001,17674.24,18033.92,54.5,89.37889,93.11259
13326.66,139.5,6863.4,4722.85,545.6,72.85,-24.300001,49.95,12074.239,24931.84,54.6,232.22371,75.36054
18096.0,199.95,8703.25,6465.05,522.35,74.399994,-18.9,24.300001,19499.52,33719.04,54.6,216.79785,89.81799
21368.07,201.5,14684.699,9878.149,1029.2,80.6,48.600002,16.2,20067.84,50388.48,54.7,310.21066,78.152725
22858.38,204.59999,9896.75,7037.0,847.85,77.5,27.0,31.050001,22425.6,37962.24,54.7,195.0658,81.685455
19265.28,190.65,11527.35,8140.5996,868.0,21.699999,-13.5,-45.9,20904.959,41552.64,54.7,269.9623,90.45439
24058.11,261.94998,12319.399,8219.649,793.6,110.049995,51.3,-44.55,28455.68,47761.918,54.8,230.89038,98.68688
23450.85,193.75,19040.2,13097.5,998.19995,241.79999,-12.150001,-20.25,23178.24,65340.16,54.8,366.67798,82.30142
27826.08,300.69998,25657.148,17714.95,1791.7999,334.8,187.65001,-29.7,25815.04,84762.875,54.9,416.5525,77.19002
20712.09,282.1,9761.899,6806.05,461.9,69.75,-6.75,-17.550001,22332.16,37980.16,54.9,212.43475,89.87352
28876.17,598.3,7004.4497,5146.0,499.09998,6.2,71.55,8.1,39546.88,40418.56,55.0,108.847244,114.42587
23020.2,240.25,16490.45,11263.85,1160.95,71.299995,9.45,-75.6,21222.4,56897.277,55.0,323.39795,76.6991
