FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
17127.69,114.7,19258.75,13263.35,1179.5499,443.3,31.050001,16.2,17386.24,62472.957,52.6,508.1949,84.55343
23396.91,255.74998,21469.049,14525.05,1475.6,88.35,130.95,-6.75,20030.719,69391.36,52.7,414.53635,71.15536
20004.78,113.149994,21117.2,14194.899,1373.2999,209.25,27.0,52.65,19944.959,66830.08,52.7,477.03232,83.029144
16053.24,144.15,17102.7,10580.3,1035.4,97.649994,27.0,43.2,14755.84,55246.08,52.9,481.45483,76.46968
20516.34,206.15,17801.75,11482.399,1190.3999,173.59999,64.8,60.75,15848.96,57154.56,52.9,391.93213,64.10756
19178.28,106.95,19698.95,12939.399,999.74994,358.05,116.1,-43.2,18389.76,61475.84,53.0,464.14478,79.815926
15767.88,99.2,14955.949,10336.949,663.39996,224.75,-21.6,-10.8,13131.52,48221.438,53.0,428.53186,69.189514
41104.02,297.59998,50883.4,33720.25,2979.0999,446.4,125.55,32.4,45861.117,164815.36,53.1,559.5915,93.03529
24239.07,120.899994,26596.45,18231.1,1585.6499,29.449999,55.350002,-95.85,23665.92,86836.48,53.1,495.8925,81.288284
14890.92,122.45,16228.499,10724.449,1236.8999,102.299995,108.0,-36.45,13766.399,53798.4,53.1,492.5277,76.91649
14929.2,91.45,14810.25,9834.75,974.94995,-10.849999,95.85,-35.100002,12806.399,47635.2,53.1,448.24222,71.29713
17527.89,145.7,18359.75,12767.35,1108.25,260.4,18.9,63.45,15841.279,58705.918,53.2,473.34225,75.17126
24703.65,178.25,26382.549,17341.4,1492.6499,257.3,37.8,-21.6,23598.08,85707.516,53.2,482.62677,79.50931
29613.93,339.44998,32635.248,22485.85,1900.2999,220.09999,47.25,33.75,28860.16,104267.516,53.3,498.0518,81.13594
18815.49,136.4,19044.85,13018.449,1252.3999,20.15,103.950005,-4.05,17533.44,62748.16,53.4,457.37054,77.538414
16603.08,134.84999,18485.299,12303.899,1178.0,120.899994,152.55,-43.2,16229.12,61154.56,53.5,503.18802,81.38286
14662.98,114.7,15541.85,10560.149,1061.75,275.9,71.55,-27.0,13518.08,51253.758,53.8,478.9933,76.70041
12176.5205,100.75,10510.55,6716.15,651.0,82.149994,10.8,12.150001,9593.6,34339.84,53.9,389.89215,65.40318
17259.93,192.2,18493.049,12108.6,1263.25,148.79999,59.4,-13.5,16171.52,58689.277,54.0,484.20383,77.9664
24670.59,190.65,24596.95,16183.55,1791.7999,190.65,54.0,-31.050001,22638.08,80136.96,54.0,450.49863,76.337585
19556.73,187.54999,18102.45,12444.949,1066.4,164.29999,49.95,-4.05,17182.719,57882.88,54.1,418.1754,73.050186
20762.55,192.2,21517.1,14895.5,1543.7999,230.95,56.7,-28.35,20011.52,71464.96,54.1,468.30774,80.23251
15135.39,106.95,15107.85,10270.3,976.5,4.6499996,22.95,52.65,14054.399,49212.16,54.1,451.02637,77.26169
24716.7,255.74998,26066.35,17206.549,1808.85,181.34999,47.25,16.2,25306.879,82045.44,54.2,476.57816,85.29361
17906.34,142.59999,17488.65,11674.6,1058.65,116.25,-52.65,51.3,15403.52,57232.64,54.2,441.28702,71.50095
15942.75,94.549995,15879.749,10991.05,1089.65,251.09999,60.75,33.75,14816.0,52336.64,54.2,450.06082,77.324615
14769.99,113.149994,15985.149,10608.199,1050.9,52.699997,27.0,-99.9,13808.64,52249.598,54.3,489.10733,77.79546
22058.85,139.5,22572.648,15792.949,1515.8999,334.8,44.55,27.0,20490.24,75407.36,54.3,462.39822,77.28792
17166.84,186.0,17448.35,11332.05,1184.2,251.09999,51.3,-41.850002,15444.4795,55988.48,54.3,459.2764,74.82518
19313.13,175.15,20039.95,13698.899,1174.9,221.65,21.6,5.4,18565.12,67092.48,54.4,468.89267,80.0169
22074.51,224.75,21983.648,14694.0,1607.35,55.8,91.8,4.05,20761.6,68366.08,54.4,449.98636,78.26843
19471.47,165.84999,21002.5,14825.75,1302.0,286.75,6.75,18.9,19294.719,67133.44,54.4,487.4577,82.516106
22391.19,234.04999,21617.85,14404.149,1587.2,34.1,120.15,21.6,20618.24,70753.28,54.5,436.20996,76.60773
20025.66,120.899994,18474.45,12407.75,1057.1,337.9,67.5,-4.05,17416.959,60122.88,54.5,416.77203,72.30203
20048.28,139.5,18161.35,12598.399,1154.75,-65.1,20.25,-29.7,18268.16,59338.24,54.5,409.2284,75.79771
17218.17,134.84999,16392.799,11149.149,1022.99994,248.0,52.65,-63.45,16227.84,52995.84,54.6,430.1425,78.4336
25344.84,215.45,26517.398,17496.4,1883.25,161.2,94.5,27.0,23252.479,85552.64,54.8,472.80112,76.32327
18773.73,136.4,18452.75,12462.0,1078.7999,23.25,83.700005,-21.6,17379.84,59155.2,54.9,444.10785,77.02355
15498.18,201.5,14100.35,9149.649,1080.35,105.399994,47.25,-2.7,13751.04,42266.88,54.9,411.00635,73.77999
29720.94,257.3,31421.6,21839.5,1915.7999,238.7,18.9,47.25,29213.44,102626.555,54.9,477.76288,81.842026
19378.38,190.65,20673.898,14442.899,1323.7,241.79999,-21.6,-31.050001,18506.24,69177.6,55.0,482.12512,79.48802
12199.14,65.1,11896.25,7599.65,458.8,401.44998,-21.6,-35.100002,10332.16,38859.52,55.3,440.60663,70.382614
19063.44,77.5,21938.7,14475.449,1401.2,283.65,-22.95,24.300001,19404.799,72409.6,55.4,520.1519,84.79035
15188.46,153.45,15227.199,9992.85,852.5,144.15,44.55,13.5,13834.239,49185.277,55.4,453.0054,75.76656
27665.13,232.5,28665.7,18894.5,1796.45,308.44998,51.3,-1.35,26191.36,94421.76,55.4,468.22867,78.79136
24162.51,127.1,26686.35,17815.7,1536.0499,159.65,41.850002,27.0,36620.8,63640.32,55.4,499.15182,126.736885
21768.27,150.34999,20573.148,14289.449,1201.25,127.1,40.5,13.5,18707.2,68682.24,55.4,426.98798,71.42948
19498.44,158.09999,20613.45,14078.649,1391.8999,178.25,2.7,99.9,18032.639,65662.72,55.5,477.74643,76.945305
18454.44,89.899994,19858.6,13312.949,1098.95,4.6499996,-24.300001,78.3,17916.16,64683.52,55.6,486.30682,80.82285
35674.35,280.55,41989.5,28017.799,1997.95,396.8,43.2,45.9,37569.277,135495.67,55.6,532.0149,87.75796
22719.18,130.2,22803.6,15371.35,1622.85,74.399994,9.45,22.95,20835.84,72241.92,55.8,453.53305,76.294556
36633.96,286.75,42897.797,27828.7,2917.0999,458.8,21.6,18.9,38321.918,142248.95,55.8,529.2807,87.164536
20472.84,195.29999,19133.2,12959.55,1050.9,116.25,-20.25,-13.5,18251.52,60264.957,55.8,422.2181,74.13659
14297.58,158.09999,15909.199,10068.8,954.8,165.84999,25.65,44.55,13912.319,53868.797,56.0,502.8955,81.01014
16911.06,86.799995,17394.1,10868.6,981.14996,186.0,59.4,12.150001,15352.319,59127.04,56.1,464.78534,75.51273
42689.16,314.65,46782.098,31757.95,2955.8499,238.7,237.6,54.0,45592.32,145486.08,56.1,495.2686,89.01288
15106.68,97.649994,14390.199,9774.3,1103.6,99.2,-17.550001,5.4,13684.4795,45902.08,56.3,430.37253,75.34662
17480.041,79.049995,14171.649,9791.35,906.75,27.9,-59.4,32.4,15086.08,46401.277,56.3,366.1408,71.738525
12315.72,44.949997,11511.85,7824.4,950.14996,-23.25,-20.25,-10.8,10835.2,39915.52,56.5,422.29196,73.14941
15124.95,128.65,14146.85,8814.85,953.25,74.399994,79.65,1.35,12477.439,46112.0,56.6,422.56543,68.52837
14508.12,110.049995,13184.3,8614.899,460.34998,17.05,110.700005,17.550001,11973.12,42264.32,56.9,410.5292,68.55474
27010.89,220.09999,23637.5,16045.6,1215.2,114.7,28.35,-44.55,21468.16,76808.96,56.9,395.29385,65.986374
15362.46,74.399994,13852.35,9176.0,1083.45,37.199997,44.55,-32.4,12801.279,42906.88,56.9,407.33575,69.23008
24643.621,213.9,24259.049,16048.699,1571.7,220.09999,81.0,-70.200005,22851.84,77460.48,56.9,444.78348,77.153275
14763.9,148.79999,15427.149,9828.55,1081.9,234.04999,41.850002,-5.4,13317.12,50769.918,57.0,472.19406,75.02208
17166.84,187.54999,19292.85,13263.35,1309.75,144.15,-1.35,-40.5,18063.36,64560.637,57.1,507.93317,87.68266
31178.19,234.04999,33156.05,22264.2,1861.5499,399.9,79.65,62.100002,30978.559,102214.4,57.2,480.57797,82.74152
19389.69,155.0,20007.398,12810.75,1145.45,280.55,44.55,2.7,19724.799,63888.637,57.2,466.2771,84.737785
36460.832,323.94998,43169.047,28636.25,2343.5999,161.2,16.2,59.4,39045.117,139784.95,57.3,535.16766,89.25488
16460.4,156.54999,16789.6,11666.85,1050.9,58.899998,160.65001,-20.25,15183.359,55640.32,57.8,460.90714,76.74242
21315.0,97.649994,20703.35,13680.3,1187.2999,237.15,163.35,18.9,18991.36,67883.516,57.8,438.85547,74.093315
18075.12,165.84999,19559.45,12961.1,1224.5,178.25,129.6,-99.9,18008.32,63569.918,57.8,489.03845,82.969696
11383.08,65.1,10536.899,6827.75,663.39996,63.55,-25.65,48.600002,9251.84,34110.72,57.8,418.18695,67.501305
15921.87,106.95,16036.3,10619.05,1075.7,4.6499996,-14.85,-27.0,14836.4795,52510.72,57.9,455.105,77.535736
18987.75,209.25,18345.799,12472.85,1026.1,240.25,2.7,52.65,17607.68,58506.24,58.0,436.54007,77.15543
20632.05,186.0,21287.7,14170.1,1503.5,260.4,49.95,-5.4,18912.0,73331.195,58.0,466.2411,76.25482
17013.72,139.5,17457.65,11642.05,1022.99994,96.1,-2.7,-8.1,15804.159,57822.72,58.0,463.66632,77.28934
12313.98,97.649994,11170.85,7497.3496,578.14996,189.09999,41.850002,-41.850002,9922.56,36881.918,58.1,409.81137,66.91345
17378.25,105.399994,17451.45,10774.05,1350.0499,156.54999,72.9,22.95,18951.68,36985.598,58.2,453.75784,90.912
19923.87,161.2,21005.6,14015.1,1061.75,266.6,-41.850002,60.75,19057.92,68856.32,58.2,476.43704,79.61806
25200.42,131.75,26889.398,17986.2,1374.85,182.9,41.850002,21.6,24089.6,88715.516,58.2,482.20123,79.5661
17648.82,179.79999,18198.549,12431.0,1218.2999,220.09999,-43.2,18.9,17594.879,56618.24,58.2,465.95584,83.023575
39227.43,376.65,53354.098,35349.3,3374.3499,272.8,83.700005,68.85,48261.117,176122.88,58.4,614.9318,102.690285
20418.9,176.7,21084.648,14098.8,1579.45,23.25,76.950005,-37.8,19165.44,71193.6,58.4,466.6153,78.107376
13875.63,71.299995,13649.3,8974.5,745.55,-7.75,-9.45,0.0,12179.2,44007.68,58.5,444.46375,72.97698
