Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_001_001_PacificBlue,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_002_002_PacificBlue,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_003_003_PacificBlue,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_004_004_PacificBlue,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_005_005_PacificBlue,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_006_006_PacificBlue,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_007_007_PacificBlue,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_008_008_PacificBlue,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_009_009_PacificBlue,Specimen_001_Tube_010_010_FITC,Specimen_001_Tube_010_010_PacificBlue
460.50113,83.28927,476.25986,81.78885,434.6677,75.34919,508.1949,84.55343,436.9416,73.65083,444.589,73.83796,364.9109,64.7249,392.7811,76.4141,371.42905,74.19599,214.84283,90.18783
530.06494,91.63584,487.86636,80.4545,622.76483,98.56164,414.53635,71.15536,418.51724,71.064255,474.30457,78.35744,484.3093,84.66099,328.2869,87.59224,365.0371,77.94166,37.497368,118.26521
617.30133,106.35889,498.01572,80.236015,413.64227,66.210075,477.03232,83.029144,461.60895,74.671135,330.44125,63.578514,333.47098,72.86145,280.07455,84.89571,309.29004,59.98172,172.70335,91.11573
475.4296,79.79659,453.7891,76.11052,471.3471,78.10764,481.45483,76.46968,460.1966,77.144005,463.13873,78.50252,391.7532,68.46936,496.71228,90.145676,413.12936,79.0546,226.44177,89.88378
559.8527,91.04542,446.03015,72.38826,393.5651,67.0589,391.93213,64.10756,475.43713,78.61366,454.21097,75.23124,479.45062,82.171936,346.6654,63.49077,354.5647,66.3345,244.3145,98.68272
487.7753,80.06896,528.4072,90.915215,536.4057,86.40316,464.14478,79.815926,461.015,78.78481,374.26584,74.8874,410.56555,72.15632,411.22034,79.19495,392.62094,77.795135,89.37889,93.11259
508.6067,83.023094,425.7233,71.27947,461.54865,79.5661,428.53186,69.189514,438.54492,73.76179,483.1686,79.600136,405.7328,70.590294,317.96118,72.84514,351.58026,69.734276,232.22371,75.36054
499.83972,86.03321,490.94934,83.01864,434.79352,78.44129,559.5915,93.03529,451.59833,74.61259,458.27084,80.97135,356.10138,84.36471,386.91702,79.94602,343.23373,87.87366,216.79785,89.81799
502.99277,84.42882,458.27386,75.6756,473.144,74.19007,495.8925,81.288284,415.6619,83.683464,453.62973,75.906235,340.36703,69.652374,291.04282,63.506767,358.77832,66.299225,310.21066,78.152725
388.13095,75.33563,499.20126,81.767746,515.6406,84.094086,492.5277,76.91649,430.94772,76.282295,373.34692,82.91036,431.295,76.76538,304.46533,78.704056,287.18735,77.211266,195.0658,81.685455
534.72437,85.33373,484.20483,78.11962,497.90683,82.152695,448.24222,71.29713,452.27954,71.97018,406.6268,72.75433,325.1359,57.41897,398.07977,70.257195,402.83765,74.080925,269.9623,90.45439
614.2577,99.66319,397.69894,66.06644,444.65543,73.77896,473.34225,75.17126,446.94174,73.42691,372.95218,62.011356,379.53674,69.92438,365.7569,70.729836,384.31525,70.955475,230.89038,98.68688
