FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
14987.49,172.04999,12110.149,8146.8,668.05,26.349998,-40.5,22.95,11687.68,41619.2,33.2,364.9109,64.7249
45958.62,497.55,49252.797,33024.3,2765.2,390.59998,95.85,39.15,46711.04,165450.23,33.3,484.3093,84.66099
15065.79,150.34999,11127.449,7777.9,804.44995,165.84999,48.600002,-70.200005,13203.199,40665.598,33.3,333.47098,72.86145
14370.66,124.0,12463.55,9064.399,968.75,130.2,-9.45,45.9,11845.12,40362.24,33.3,391.7532,68.46936
25403.13,199.95,26951.398,17826.549,1922.0,327.05,-39.15,-64.8,25068.799,91143.68,33.3,479.45062,82.171936
26006.91,313.09998,23635.95,15771.25,1599.6,230.95,-17.550001,13.5,22574.08,81967.36,33.4,410.56555,72.15632
17908.08,257.3,16084.35,10814.35,1305.1,173.59999,64.8,62.100002,15211.52,53021.438,33.4,405.7328,70.590294
16153.29,111.6,12737.899,8117.3496,596.75,60.449997,-75.6,-33.75,16360.96,44930.56,33.4,356.10138,84.36471
16638.75,72.85,12542.6,8332.8,821.5,175.15,0.0,29.7,13948.16,42520.32,33.5,340.36703,69.652374
23977.2,275.9,22888.85,15017.949,1491.1,158.09999,99.9,45.9,22123.52,79070.72,33.5,431.295,76.76538
12291.36,137.95,8852.05,5998.5,694.39996,164.29999,67.5,-16.2,8519.68,30156.799,33.5,325.1359,57.41897
22671.33,173.59999,19051.049,11970.649,1416.7,165.84999,-63.45,-8.1,19078.4,64625.918,33.5,379.53674,69.92438
26449.74,212.34999,25708.299,16981.799,1618.2,97.649994,2.7,56.7,22899.2,83769.6,33.5,439.15604,71.96749
21915.3,195.29999,18147.4,12570.5,1097.4,23.25,13.5,32.4,16661.76,62466.56,33.6,373.99173,63.07727
23922.39,196.84999,21788.35,14365.399,1362.45,68.2,140.40001,44.55,21009.92,74186.24,33.6,411.453,73.02022
20634.66,299.15,18877.45,12457.35,1021.44995,186.0,9.45,28.35,18208.0,65624.32,33.6,413.28644,73.369606
38528.82,317.75,43091.547,28408.398,2540.45,162.75,-25.65,-8.1,39948.8,140435.2,33.7,505.47858,86.38735
21738.69,178.25,20303.45,13570.25,993.55,294.5,8.1,-27.0,20702.719,67473.92,33.7,421.9521,79.264694
23197.68,260.4,21072.25,13661.699,1449.25,465.0,44.55,-18.9,18744.32,69675.516,33.7,410.35907,67.10135
22888.83,227.84999,23480.95,15504.649,1584.1,134.84999,-2.7,-1.35,22579.2,79936.0,33.7,463.5653,82.141045
23139.39,268.15,21748.049,14754.449,1526.75,127.1,6.75,8.1,20469.76,73602.555,33.8,424.62106,73.5575
16904.1,153.45,13923.649,8838.1,799.8,77.5,-49.95,-37.8,12980.4795,46579.2,33.8,372.00592,63.71862
20488.5,156.54999,18218.7,11566.1,1377.95,161.2,0.0,24.300001,17390.08,62995.2,33.8,401.68173,70.53555
15760.05,145.7,13619.85,9334.1,854.05,58.899998,-5.4,35.100002,14252.8,46876.16,33.8,390.3537,75.22074
15014.46,158.09999,12486.8,8215.0,756.39996,26.349998,75.6,-70.200005,11590.399,41588.48,33.8,375.61374,64.060776
14340.21,96.1,10681.05,7379.55,300.69998,128.65,93.15,-18.9,13867.52,38978.56,33.9,336.29752,80.503044
20558.97,248.0,20145.35,13514.449,1249.2999,38.75,40.5,-2.7,18851.84,66955.516,33.9,442.73956,76.282814
18920.76,158.09999,17380.15,11522.699,1181.1,57.35,47.25,-75.6,16075.52,58900.48,33.9,414.97733,70.607254
24474.84,356.5,22250.25,15493.8,1088.1,288.3,-20.25,25.65,19763.2,73953.28,33.9,410.68948,67.05624
29200.68,378.19998,26604.2,17652.95,1284.95,203.04999,-35.100002,5.4,23896.32,87298.555,34.0,411.5836,67.97134
19340.97,224.75,18674.4,12293.05,1346.95,82.149994,86.4,29.7,17815.04,64305.918,34.1,436.24326,76.63169
11047.26,111.6,7830.5996,5304.0996,616.89996,-55.8,-41.850002,-55.350002,7769.5996,26138.879,34.1,319.9927,58.275417
15664.35,130.2,12381.399,8783.85,638.6,106.95,6.75,4.05,12098.56,40921.598,34.1,356.94153,64.095634
15535.59,162.75,12923.899,8387.05,720.75,89.899994,-17.550001,4.05,14305.279,45120.0,34.1,375.72162,76.60668
21716.94,255.74998,20570.049,13694.25,908.3,147.25,12.150001,27.0,19829.76,70604.8,34.1,427.93494,75.95722
18738.06,113.149994,15848.75,10512.1,792.05,167.4,-27.0,48.600002,15183.359,54373.117,34.1,382.0232,67.292625
16251.6,136.4,12979.699,8616.45,889.69995,261.94998,-21.6,43.2,13008.64,45358.08,34.1,360.67892,66.463104
15048.39,153.45,12215.55,8148.3496,816.85,105.399994,66.15,18.9,11228.16,41414.4,34.2,366.60187,61.885296
24096.39,241.79999,23299.6,15599.199,1621.2999,325.5,114.75,39.15,21413.12,77984.0,34.2,436.87604,73.89598
22262.43,265.05,19278.898,13393.55,1047.7999,148.79999,14.85,52.65,17990.4,65191.68,34.2,391.16095,67.10811
16659.63,162.75,15833.25,10983.3,1050.9,127.1,10.8,-17.550001,15589.12,53830.4,34.2,429.38724,77.86545
16460.4,108.5,16364.899,11277.8,1345.3999,286.75,12.150001,-13.5,15834.88,55732.48,34.2,449.223,80.078354
21440.28,195.29999,16924.45,10915.1,985.8,252.65,76.950005,2.7,20977.92,58996.48,34.3,356.46936,81.463646
33853.44,373.55,29876.25,19900.45,2174.65,255.74998,-22.95,6.75,27000.32,98535.68,34.4,398.64832,66.21971
15760.92,212.34999,13097.5,8940.399,990.44995,4.6499996,17.550001,-79.65,12860.16,44232.96,34.4,375.32367,67.76942
16251.6,116.25,13736.1,8551.35,891.25,-13.95,18.9,-13.5,14238.72,44596.48,34.4,381.75604,72.84233
23409.96,282.1,22436.25,15414.75,1711.2,199.95,20.25,18.9,21457.92,78295.04,34.4,433.01456,76.25338
25135.17,305.34998,23053.148,15726.3,1625.95,196.84999,-2.7,-12.150001,21323.52,78839.04,34.4,414.33942,70.50026
17478.3,142.59999,15693.75,9974.25,863.35,204.59999,76.950005,21.6,14389.76,50417.918,34.4,405.61392,68.388084
14779.561,134.84999,12207.8,8830.35,720.75,193.75,-1.35,16.2,12002.56,43715.84,34.5,373.05078,67.44518
24052.02,213.9,22695.1,15690.649,1695.7,60.449997,-21.6,12.150001,25332.479,79752.96,34.5,426.30234,87.76805
23744.041,258.85,21478.35,14126.699,885.05,167.4,18.9,-55.350002,19962.879,73688.32,34.5,408.6387,69.859665
20176.17,192.2,17161.6,12204.699,1162.5,240.25,51.3,4.05,15966.72,58790.4,34.5,384.1889,65.69719
20721.66,308.44998,18006.35,12280.649,1119.1,145.7,109.35,-29.7,17036.799,60472.32,34.5,392.51007,68.29374
23966.76,201.5,20838.2,14074.0,1384.1499,275.9,-32.4,-41.850002,20840.959,70056.96,34.6,392.7364,72.28902
21783.93,263.5,17566.15,12080.699,982.69995,190.65,5.4,1.35,20244.48,61968.637,34.6,364.17,77.325096
19982.16,296.05,19052.6,12877.399,1187.2999,10.849999,32.4,22.95,18141.44,63407.36,34.6,430.78397,75.51734
39096.93,415.4,38099.0,25957.85,2662.9,263.5,32.4,-4.05,36284.16,129079.04,34.6,440.2916,77.21769
14030.49,100.75,12623.199,8635.05,778.1,136.4,60.75,67.5,11786.239,42517.758,34.7,406.4284,69.79995
14734.32,105.399994,10516.75,6823.0996,730.05,9.299999,59.4,-9.45,13100.8,34890.24,34.7,322.22592,73.93734
13582.44,141.05,10660.899,6959.5,570.39996,156.54999,-9.45,8.1,10397.439,35176.96,34.7,354.44366,63.51774
15604.32,131.75,13671.0,9324.8,916.05,38.75,35.100002,-10.8,13303.04,46702.08,34.7,395.7438,70.85162
28794.39,418.5,25077.45,17569.25,1302.0,38.75,101.25,0.0,23292.16,82904.32,34.8,393.3939,67.17614
18062.94,246.45,15737.149,10202.1,996.64996,139.5,58.05,85.05,14740.4795,52097.277,34.8,393.5412,67.77866
15139.74,133.3,10817.449,7193.55,937.75,266.6,31.050001,-12.150001,13048.319,38561.277,34.8,322.56473,71.63847
17153.791,240.25,14957.5,10109.1,1046.25,94.549995,-59.4,16.2,13967.359,49959.68,34.8,393.86954,67.625374
21321.96,181.34999,19619.898,13060.3,1131.5,89.899994,-13.5,76.950005,18977.28,67092.48,34.9,415.7008,74.013145
15737.43,103.85,10580.3,7484.9497,554.89996,182.9,10.8,-9.45,13026.56,37376.0,34.9,303.45206,68.763214
20963.52,192.2,19150.25,12847.949,1488.0,54.25,27.0,-58.05,18018.56,64378.88,34.9,412.68042,71.44134
17805.42,119.35,16960.1,11025.149,844.75,133.3,32.4,99.9,16186.88,54859.52,35.0,430.35107,75.61988
20191.83,255.74998,20007.398,13722.149,1312.85,125.549995,133.65001,40.5,19659.52,70465.28,35.0,447.71402,81.059296
12680.25,57.35,8111.15,5122.75,539.39996,29.449999,-16.2,-47.25,12134.399,29880.318,35.0,288.6739,79.65309
25749.39,173.59999,23056.25,15707.699,1377.95,182.9,-4.05,31.050001,22754.559,79974.4,35.1,404.4865,73.47868
16878.0,190.65,14621.149,9994.399,709.89996,91.45,52.65,-6.75,13502.72,48531.2,35.2,391.29724,66.42653
30178.56,395.25,28375.85,18451.2,1887.8999,80.6,67.5,-63.45,25337.6,91290.875,35.2,424.7994,69.76157
16142.85,144.15,14108.1,9408.5,871.1,26.349998,68.85,9.45,13027.84,46489.598,35.2,394.77014,67.01783
