FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
17566.17,114.7,16899.65,11707.149,1157.85,285.19998,9.45,49.95,15912.96,54278.4,54.6,434.6677,75.34919
15626.94,88.35,21524.85,14774.6,1097.4,93.0,140.40001,-43.2,18460.16,70170.875,54.8,622.76483,98.56164
15922.74,130.2,14579.3,9765.0,1019.89996,-17.05,-35.100002,22.95,12697.6,47520.0,55.0,413.64227,66.210075
22168.47,210.79999,23122.898,15749.55,1470.95,41.85,55.350002,28.35,20807.68,75586.555,55.2,471.3471,78.10764
12392.28,40.3,10797.3,7553.15,939.3,57.35,-27.0,-21.6,10007.04,36503.04,55.3,393.5651,67.0589
17704.5,31.0,21010.25,14097.25,1284.95,347.19998,144.45,5.4,18360.32,69175.04,55.3,536.4057,86.40316
16109.79,131.75,16454.799,11291.75,1230.7,131.75,43.2,-45.9,15399.68,56328.957,55.3,461.54865,79.5661
22644.36,184.45,21791.45,14463.05,1497.2999,113.149994,112.05,2.7,21344.0,67326.72,55.3,434.79352,78.44129
19551.51,103.85,20470.85,13218.399,1381.0499,103.85,51.3,33.75,17442.56,65930.24,55.6,473.144,74.19007
18087.3,134.84999,20635.148,13762.449,1368.6499,263.5,109.35,45.9,18261.76,67331.836,55.6,515.6406,84.094086
24411.33,212.34999,26894.049,17415.799,1736.0,172.04999,-8.1,60.75,24084.479,88348.16,55.6,497.90683,82.152695
24477.45,204.59999,24088.549,16109.149,1649.2,181.34999,25.65,-17.550001,21717.76,79422.72,55.7,444.65543,73.77896
22272.871,85.25,23050.049,15763.5,1382.6,20.15,39.15,18.9,20791.04,75411.195,55.7,467.6519,77.673874
14593.38,173.59999,15253.55,10465.6,868.0,71.299995,36.45,-10.8,13890.56,50841.598,55.7,472.33624,79.22217
16048.89,141.05,14588.6,9975.8,942.39996,168.95,10.8,33.75,13547.52,51430.4,55.8,410.64545,70.14516
26064.33,285.19998,25350.25,16800.45,1602.7,297.59998,-58.05,1.35,23072.0,79445.76,55.8,439.4437,73.60522
25584.09,161.2,27411.75,18221.799,1639.8999,206.15,8.1,145.8,23933.44,89926.4,55.8,484.2008,77.84346
23620.5,234.04999,27833.35,19038.65,2010.35,156.54999,41.850002,40.5,24175.36,89594.875,55.8,532.6188,85.26098
