FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence,Pacific_Blue_fluorescence
15869.67,106.95,13799.649,8980.7,959.44995,416.94998,145.8,-49.95,14576.64,47289.598,55.5,392.7811,76.4141
18430.08,96.1,13401.3,8796.25,840.1,226.29999,-60.75,27.0,19372.799,49041.918,55.5,328.2869,87.59224
17383.47,172.04999,10789.55,7305.15,539.39996,83.7,-37.8,87.75,17716.48,37621.758,55.6,280.07455,84.89571
27693.84,361.15,30437.35,20235.25,2067.7,688.19995,6.75,-16.2,29949.44,99400.96,55.7,496.71228,90.145676
31465.291,378.19998,24156.75,16436.2,1455.45,244.9,12.150001,85.05,24076.799,82818.555,55.7,346.6654,63.49077
19539.33,221.65,17786.25,12432.55,1058.65,35.649998,82.35,45.9,18592.0,61803.52,55.7,411.22034,79.19495
15906.21,153.45,11203.399,7232.3,728.5,215.45,10.8,9.45,13936.64,39809.277,55.7,317.96118,72.84514
19855.14,172.04999,17008.15,11573.85,1145.45,148.79999,-41.850002,-37.8,19069.44,59281.918,55.7,386.91702,79.94602
14954.43,103.85,9644.1,6933.15,544.05,97.649994,52.65,17.550001,11445.76,34004.48,55.8,291.04282,63.506767
13667.7,153.45,9219.399,6675.8496,578.14996,72.85,14.85,68.85,12925.439,34851.84,55.8,304.46533,78.704056
20953.08,300.69998,18465.15,12117.899,1207.45,184.45,62.100002,9.45,17715.2,60634.88,55.8,398.07977,70.257195
20112.66,203.04999,16288.949,11246.8,1133.0499,122.45,85.05,-17.550001,17117.44,56325.117,55.8,365.7569,70.729836
34987.92,365.8,28696.7,19891.148,1966.95,365.8,113.4,6.75,28807.68,99619.836,55.8,370.42276,68.3938
18084.69,151.9,15864.25,10736.85,849.39996,168.95,99.9,63.45,15534.08,52225.277,55.9,396.24936,71.39441
19430.58,155.0,13869.399,9549.55,826.14996,122.45,54.0,13.5,20131.84,49501.438,56.0,322.24112,86.322914
18986.88,234.04999,14596.35,9994.399,753.3,65.1,54.0,39.15,13889.279,48958.72,56.0,347.13312,60.653343
