FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
13416.2705,87.78,20232.52,2634.94,161.7,16.939999,-4.05,-63.45,121.6,3440.64,46.5,155.37454
21634.291,132.44,38689.418,4495.26,277.19998,55.44,122.85,-28.35,215.04,6287.36,46.5,184.43744
21403.74,146.3,33653.62,4373.6,440.44,21.56,45.9,2.7,401.91998,5096.96,46.6,162.03844
29647.86,172.48,56958.438,6518.82,674.51996,36.96,-4.05,35.100002,460.8,8567.04,46.6,198.21066
36885.39,189.42,44057.86,5162.08,697.62,72.38,12.150001,-8.1,537.6,7962.88,46.6,122.85596
18960.78,180.18,31660.86,4002.46,583.66,7.7,10.8,51.3,307.19998,4638.7197,46.7,172.14677
15885.33,73.92,19762.82,2591.8198,92.399994,52.36,-82.35,21.6,252.15999,3147.52,46.7,128.00322
16094.13,97.02,23589.719,2976.8198,358.81998,100.1,10.8,45.9,254.72,3297.28,46.7,150.98584
23652.69,118.579994,37514.4,4333.56,297.22,-49.28,44.55,-37.8,225.28,5512.96,46.7,163.46191
16259.43,135.51999,23066.12,2727.3398,138.59999,-23.099998,47.25,81.0,158.72,4186.88,46.7,146.1015
30856.291,281.82,58116.52,7388.92,748.44,130.9,162.0,8.1,597.76,9297.92,46.7,194.30067
22624.35,181.72,33056.098,4250.4,366.52,20.02,1.35,98.55,326.4,4558.08,46.7,150.50374
33346.23,246.4,51628.5,6631.2397,779.24,93.939995,54.0,-24.300001,408.31998,7552.0,46.8,159.54272
19832.52,154.0,32495.54,4096.4,227.92,16.939999,-37.8,60.75,211.2,5560.32,46.8,168.90015
23885.85,127.82,41236.58,5192.88,679.13995,46.199997,24.300001,-35.100002,285.44,6024.96,46.8,178.01515
23192.46,189.42,43779.117,5026.56,374.22,-18.48,72.9,6.75,309.75998,6234.88,46.8,194.7348
15888.811,154.0,27550.6,3311.0,269.5,-55.44,-12.150001,5.4,129.28,5052.1597,46.8,178.79912
12115.62,214.06,468.15997,503.58,706.86,121.659996,93.15,54.0,1318.4,2343.68,46.9,3.0067892
21320.22,120.119995,33704.438,3942.4,485.09998,-10.78,128.25,14.85,271.36,4890.88,46.9,162.92427
24938.55,194.04,45958.22,5773.46,669.89996,-6.16,-27.0,27.0,346.88,7123.1997,46.9,190.09084
13626.811,9.24,18198.18,2115.96,210.98,-36.96,113.4,1.35,193.28,3667.2,46.9,137.47827
20299.71,150.92,32343.08,3982.44,452.75998,121.659996,0.0,18.9,208.64,4829.44,46.9,164.21117
15173.67,103.18,20819.26,2585.66,243.31999,123.2,-6.75,54.0,193.28,3304.96,47.0,141.27303
15332.88,127.82,25770.36,3187.7998,289.52,21.56,-10.8,-8.1,101.119995,4314.88,47.0,173.27882
18858.12,152.45999,33039.16,3705.24,409.63998,49.28,0.0,8.1,410.88,5283.84,47.0,180.66803
17617.5,140.14,149.37999,166.31999,438.9,107.799995,106.65,27.0,422.4,1111.0399,47.0,-0.12078315
19067.791,135.51999,23531.2,3166.24,137.06,-41.579998,62.100002,33.75,107.52,3846.4,47.0,126.9651
16259.43,121.659996,22496.32,2828.98,187.87999,-10.78,2.7,20.25,144.64,4209.92,47.0,142.46767
25018.59,192.5,41889.54,5126.6597,571.33997,104.72,67.5,-6.75,303.36,5935.36,47.1,172.61636
23087.19,138.59999,35868.14,4271.96,391.16,32.34,79.65,25.65,234.23999,5553.92,47.1,160.09634
18812.01,178.64,34894.86,4436.7397,364.97998,112.42,44.55,12.150001,335.36,5492.48,47.1,191.342
22960.17,172.48,34939.52,4284.28,569.8,43.12,59.4,-36.45,133.12,6716.1597,47.1,156.79372
24991.621,157.08,39701.2,4746.28,652.95996,1.54,86.4,-45.9,363.52,6289.92,47.1,163.72408
18835.5,164.78,34676.18,4492.1797,495.87997,7.7,0.0,-16.2,252.15999,4889.6,47.1,189.89825
28516.86,252.56,47478.2,5901.28,628.32,83.159996,78.3,-18.9,327.68,7394.56,47.1,171.6396
17523.541,137.06,203.28,98.56,389.62,220.22,164.7,-24.300001,774.39996,1203.2,47.2,0.20287538
19685.49,197.12,31339.0,4275.04,264.88,110.88,66.15,37.8,313.6,4656.64,47.2,164.07709
20048.28,146.3,30593.639,3720.64,374.22,-70.84,5.4,-6.75,213.76,4890.88,47.2,157.23477
20133.541,157.08,33551.98,4239.62,472.78,61.6,1.35,8.1,221.44,5752.32,47.2,171.80086
25828.56,158.62,44755.48,5701.08,469.69998,101.64,89.1,41.850002,264.96,6725.1196,47.3,178.67758
17811.51,92.399994,32971.4,4154.92,505.12,23.099998,43.2,-37.8,200.95999,5382.4,47.3,190.94841
