FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
16710.96,217.14,28425.318,3820.74,483.56,84.7,49.95,79.65,362.24,8508.16,48.1,175.381
18234.33,150.92,24609.2,3238.6199,289.52,38.5,47.25,-67.5,266.24,5802.2397,48.1,138.94441
20630.31,226.37999,31720.92,4081.0,398.86,53.899998,-37.8,27.0,285.44,7399.6797,48.1,158.43655
18548.4,118.579994,30455.04,3820.74,227.92,47.739998,78.3,28.35,335.36,8147.1997,48.1,169.25528
29493.0,369.59998,41838.72,5212.9,606.76,133.98,85.05,32.4,577.27997,12001.279,48.1,146.09819
13304.04,118.579994,20659.1,2596.44,317.24,164.78,-45.9,18.9,195.84,6785.28,48.1,160.01848
11594.49,20.02,17717.7,2156.0,286.44,-61.6,-16.2,47.25,328.96,5393.92,48.2,157.45413
55463.37,634.48,99069.734,12079.76,1560.02,35.42,72.9,-9.45,1364.48,28058.879,48.2,184.21776
48867.9,720.72,118432.16,14819.42,2203.74,317.24,20.25,-56.7,1992.96,28526.08,48.2,250.3008
39504.96,267.96,54060.16,6802.1797,793.1,161.7,151.2,-14.85,677.12,17701.12,48.2,140.89713
13511.97,150.92,19277.719,2510.2,287.97998,295.68,16.2,91.8,183.04,6300.1597,48.3,146.93974
12692.43,190.95999,471.24,421.96,648.33997,231.0,206.55,108.0,1418.24,2621.44,48.3,2.849863
14494.2,90.86,22296.12,2913.68,349.58,9.24,62.100002,20.25,276.47998,4573.44,48.3,158.50816
15451.2,158.62,19502.559,2197.5798,167.86,-3.08,79.65,24.300001,40.96,4857.6,48.3,129.8812
23311.65,214.06,34229.58,4094.8599,652.95996,27.72,103.950005,13.5,481.28,9870.08,48.3,151.2567
15285.9,47.739998,22128.26,2619.54,226.37999,81.619995,-76.950005,-8.1,216.31999,5336.32,48.3,149.1081
22098.871,180.18,36465.66,4478.32,475.86,69.299995,-59.4,2.7,332.8,9849.6,48.3,170.10468
29312.91,267.96,48121.918,5688.76,754.6,-35.42,-43.2,6.75,455.68,14042.88,48.4,169.22835
16632.66,97.02,24367.42,2978.3599,331.1,7.7,-33.75,94.5,422.4,6036.48,48.4,150.91327
17834.13,186.34,24832.5,2944.48,278.74,-52.36,41.850002,-27.0,373.75998,6757.1196,48.4,143.3831
23778.84,204.81999,39391.66,5159.0,491.25998,56.98,-16.2,20.25,471.03998,10273.279,48.4,170.77562
26957.82,197.12,47639.9,6029.0996,617.54,212.51999,64.8,24.300001,505.59998,13566.72,48.4,182.24576
16838.85,152.45999,25835.04,2992.22,465.08,15.4,86.4,6.75,367.36,7050.2397,48.5,158.09062
16461.27,129.36,22824.34,2812.04,243.31999,126.28,-12.150001,-40.5,276.47998,7302.4,48.5,142.7748
19630.68,149.37999,26933.059,3332.5598,337.25998,40.04,-31.050001,0.0,323.84,6972.1597,48.5,141.26505
11508.36,46.199997,17515.959,1917.2999,284.9,61.6,0.0,-27.0,231.68,3088.64,48.5,156.82228
