FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
12601.08,189.42,13396.46,1315.1599,195.58,240.23999,4.05,-16.2,581.12,7818.2397,48.8,109.23771
28930.98,332.63998,41236.58,4951.1,478.94,56.98,-17.550001,4.05,686.07996,15866.88,48.9,146.79759
15665.22,147.84,18241.299,2179.0999,226.37999,20.02,116.1,1.35,535.04,10243.84,48.9,119.74444
15330.2705,109.34,16859.92,2320.78,235.62,6.16,35.100002,13.5,453.12,9527.04,48.9,113.03905
14770.86,106.259995,14862.54,1971.2,277.19998,63.14,45.9,-55.350002,440.31998,7982.0796,48.9,103.33622
21615.15,311.08,6509.58,1005.62,158.62,93.939995,44.55,36.45,851.19995,5898.2397,48.9,30.227886
22138.89,200.2,23631.299,2865.94,274.12,109.34,28.35,5.4,686.07996,14237.439,48.9,109.68267
35931.0,207.9,19936.84,2785.8599,616.0,35.42,85.05,0.0,769.27997,11488.0,48.9,56.535366
24686.25,203.28,21415.24,2681.14,488.18,29.259998,193.05,103.950005,618.24,13676.8,48.9,88.95301
16450.83,155.54,18022.62,2162.16,140.14,126.28,39.15,-22.95,510.72,10420.4795,48.9,112.59991
17754.96,212.51999,15647.939,1954.26,346.5,23.099998,75.6,-43.2,654.07996,9762.56,49.0,90.38719
18316.11,180.18,11570.02,1637.02,269.5,49.28,86.4,-20.25,660.48,10035.2,49.0,64.50112
14957.04,127.82,10207.12,1276.6599,226.37999,3.08,25.65,-55.350002,800.0,7681.28,49.0,69.76287
19232.22,175.56,9005.92,1352.12,97.02,254.09999,132.3,49.95,358.4,6929.92,49.0,47.556408
35670.87,428.12,57066.24,6916.1396,1084.1599,138.59999,112.05,36.45,1387.52,26649.6,49.1,164.8874
29207.64,318.78,19248.459,2459.38,511.28,70.84,97.200005,-10.8,902.39996,14022.399,49.1,67.335655
15834.0,93.939995,388.08,175.56,97.02,-18.48,82.35,2.7,559.36,1728.0,49.1,1.5414319
17026.77,229.45999,19448.66,2571.8,315.69998,46.199997,174.15001,1.35,747.51996,13015.04,49.1,117.44189
16406.46,66.22,434.28,214.06,184.79999,104.72,44.55,-12.150001,848.63995,1762.5599,49.1,1.74475
9409.92,203.28,115.5,52.36,46.199997,-69.299995,102.6,-18.9,167.68,272.63998,49.1,0.2727524
24199.92,321.86,40254.06,4881.8,586.74,43.12,0.0,-75.6,994.56,17472.0,49.1,171.48193
22730.49,258.72,6988.52,1228.9199,161.7,-100.1,224.1,-5.4,832.0,7105.28,49.1,30.88044
16097.61,137.06,15027.319,1935.7799,338.8,-21.56,-47.25,-12.150001,892.16,11188.4795,49.2,95.798355
12646.32,70.84,7011.6196,860.86,249.48,-27.72,9.45,-47.25,622.07996,5036.8,49.2,56.491287
12461.01,27.72,13337.939,1901.8999,243.31999,3.08,76.950005,10.8,355.84,7534.0796,49.2,109.98988
17273.85,227.92,30752.26,3930.0798,548.24,166.31999,207.90001,79.65,862.72,16189.439,49.2,183.60173
13924.35,47.739998,19735.1,2445.52,223.29999,-20.02,22.95,-1.35,224.0,7238.4,49.2,145.96445
22635.66,212.51999,2950.64,652.95996,315.69998,95.479996,21.6,13.5,659.2,3564.7998,49.2,12.516707
12991.71,144.76,189.42,408.09998,178.64,132.44,14.85,40.5,496.63998,1108.48,49.2,0.51184535
16904.1,175.56,7419.7197,1153.46,103.18,46.199997,68.85,64.8,613.12,6150.4,49.3,44.513824
14595.12,271.03998,8902.74,1141.14,123.2,35.42,109.35,37.8,679.68,7353.5996,49.3,62.25049
19122.6,210.98,4550.6997,734.57996,180.18,231.0,-39.15,-60.75,501.75998,4961.28,49.3,23.676249
18938.16,204.81999,494.34,263.34,103.18,-92.399994,60.75,85.05,743.68,2165.76,49.3,1.7066734
21611.67,241.78,37770.04,4539.92,562.1,46.199997,55.350002,-33.75,936.95996,16570.879,49.3,180.22037
18690.21,141.68,586.74,278.74,167.86,-35.42,-4.05,40.5,631.04,2119.68,49.3,2.2552125
17068.53,183.26,12204.5,1604.6799,401.94,15.4,36.45,14.85,732.16,9492.4795,49.3,73.14327
20111.791,258.72,12628.0,1891.12,301.84,47.739998,49.95,-32.4,899.83997,9843.2,49.3,64.1076
19719.42,166.31999,17793.16,2074.38,210.98,89.32,-20.25,-52.65,540.16,11176.96,49.3,92.56358
12749.85,75.46,13410.319,1746.36,194.04,-41.579998,56.7,-6.75,668.16,8125.44,49.3,108.06413
12753.33,164.78,9420.18,1131.9,232.54,6.16,70.200005,-4.05,350.72,6874.88,49.4,75.59201
16516.95,172.48,13465.76,1872.6399,401.94,9.24,106.65,13.5,647.68,9626.88,49.4,83.5374
11959.0205,132.44,5704.1597,882.42,164.78,64.68,17.550001,-1.35,597.76,4759.04,49.4,48.458843
15164.1,164.78,9946.859,1432.2,115.5,-38.5,49.95,-1.35,1227.52,9235.2,49.4,67.01696
11589.2705,83.159996,13322.54,1678.6,227.92,30.8,86.4,10.8,627.2,8037.1196,49.5,118.2007
19367.07,124.74,39793.598,5166.6997,551.32,83.159996,63.45,4.05,477.44,11112.96,49.5,212.05765
25799.85,320.32,17463.6,2605.68,381.91998,180.18,105.3,0.0,1047.0399,14118.399,49.5,69.188255
22690.47,275.66,23643.62,3141.5999,212.51999,-12.32,-31.050001,-5.4,565.76,11787.52,49.5,107.04839
22134.541,218.68,23193.94,2946.02,466.62,169.4,99.9,-4.05,864.0,14707.199,49.6,107.65555
7650.7803,301.84,1284.36,1376.76,2456.3,783.86,633.15,220.05,1552.64,3226.88,49.6,16.4072
14216.67,33.879997,15854.3,1988.1399,187.87999,44.66,-41.850002,10.8,371.19998,8248.319,49.6,114.63707
26606.34,284.9,16899.959,1928.08,423.5,49.28,164.7,-13.5,1122.5599,13390.08,49.6,64.864044
12735.93,75.46,16527.28,2006.62,264.88,23.099998,64.8,21.6,570.88,7971.84,49.6,133.56082
26674.2,281.82,15227.52,1814.12,395.78,86.24,35.100002,44.55,1121.28,11914.239,49.7,58.195087
19161.75,180.18,5673.36,982.51996,244.86,100.1,48.600002,0.0,870.39996,6269.44,49.7,29.701038
17958.541,214.06,17967.18,2365.44,489.72,-55.44,143.1,22.95,753.92,10469.12,49.7,102.74251
27170.1,235.62,22005.059,3009.16,449.68,-84.7,9.45,35.100002,1022.72,15340.8,49.7,82.98064
22935.81,112.42,5738.04,894.74,167.86,-35.42,4.05,39.15,911.36,5991.6797,49.7,24.941637
13917.39,75.46,15021.159,1750.98,235.62,166.31999,28.35,33.75,337.91998,6942.7197,49.7,110.91635
16677.03,214.06,672.98,392.69998,229.45999,-32.34,89.1,35.100002,560.64,2062.0798,49.8,3.184382
14373.2705,155.54,411.18,243.31999,244.86,-40.04,14.85,-29.7,606.72,1694.72,49.8,1.9663627
14662.11,120.119995,13053.04,1874.1799,92.399994,100.1,-52.65,20.25,408.31998,7883.52,49.8,91.31304
33859.53,317.24,45833.48,5873.56,574.42,16.939999,37.8,51.3,1166.08,21955.84,49.8,139.36208
17680.14,149.37999,17668.42,2411.64,434.28,69.299995,-18.9,63.45,908.8,11427.84,49.8,102.623886
15282.42,269.5,5905.9,977.89996,206.36,44.66,-25.65,-16.2,436.47998,5758.7197,49.8,39.072075
12038.19,101.64,11205.04,1290.52,261.8,-10.78,48.600002,-14.85,350.72,6813.44,49.9,95.516174
18687.6,100.1,174.01999,53.899998,229.45999,21.56,-25.65,74.25,382.72,791.04,49.9,-0.03440833
13821.69,160.16,17072.44,1985.0599,255.64,63.14,22.95,-13.5,432.63998,7948.8,49.9,127.08029
10861.95,38.5,8654.8,1221.22,89.32,-21.56,44.55,41.850002,552.95996,6008.32,49.9,81.62226
13645.95,135.51999,13003.76,1566.1799,364.97998,-43.12,-5.4,82.35,477.44,7543.04,50.0,97.81276
19035.6,152.45999,12497.1,1758.6799,160.16,-55.44,132.3,-17.550001,517.12,9132.8,50.0,67.075455
18047.28,204.81999,15192.1,1797.1799,201.73999,-36.96,67.5,-14.85,764.16,10135.04,50.0,86.28788
32653.71,321.86,48038.758,6203.1196,632.94,112.42,140.40001,43.2,1260.7999,24654.08,50.0,151.5482
19652.43,140.14,14412.859,1940.3999,107.799995,69.299995,28.35,28.35,561.92,10091.52,50.0,75.04695
10058.07,63.14,7519.82,1262.7999,123.2,52.36,-31.050001,-33.75,330.24,4867.84,50.0,76.5248
17406.09,221.76,18763.36,2542.54,226.37999,53.899998,71.55,33.75,805.12,11182.08,50.1,110.77824
18899.01,175.56,19852.139,2496.3398,344.96,23.099998,71.55,-6.75,464.63998,10481.92,50.1,107.922134
18910.32,169.4,833.13995,227.92,121.659996,75.46,176.85,-4.05,1000.95996,3279.3599,50.1,3.56843
13853.01,144.76,11784.08,1458.38,32.34,-58.519997,28.35,55.350002,440.31998,7852.8,50.1,87.20627
16997.19,197.12,11382.14,1680.14,164.78,-10.78,-6.75,-9.45,670.72,8282.88,50.1,68.4376
13231.83,109.34,15903.58,1921.9199,209.44,26.18,33.75,-9.45,605.44,9061.12,50.1,123.63007
38485.32,372.68,21487.62,2785.8599,518.98,115.5,112.05,-21.6,1478.4,14259.199,50.2,56.895
11725.86,106.259995,32.34,77.0,27.72,21.56,28.35,-35.100002,60.16,349.44,50.2,-0.71401507
18210.84,201.73999,415.8,311.08,223.29999,-38.5,13.5,-21.6,645.12,1994.24,50.2,1.3675675
24305.19,243.31999,23132.34,3089.24,455.84,27.72,-18.9,-43.2,956.16,14781.439,50.2,97.688934
19140.87,264.88,628.32,514.36,274.12,43.12,-67.5,-44.55,652.8,2846.72,50.2,2.403824
16652.67,150.92,10833.899,1345.96,284.9,-35.42,89.1,0.0,542.72,8121.5996,50.2,66.46039
14950.95,100.1,6877.6396,1041.0399,243.31999,86.24,37.8,-67.5,442.88,6050.56,50.2,46.700012
12270.48,55.44,9158.38,1071.84,266.41998,-6.16,86.4,45.9,371.19998,5818.88,50.2,76.393585
14164.47,107.799995,7850.92,1156.5399,277.19998,-20.02,98.55,-93.15,449.28,6094.08,50.2,56.47356
16697.041,223.29999,5232.92,774.62,278.74,106.259995,25.65,-21.6,867.83997,6178.56,50.3,31.497688
10240.7705,87.78,15923.6,2060.52,189.42,-35.42,4.05,59.4,275.19998,5587.1997,50.3,160.23395
61993.59,679.13995,79300.76,10401.16,1396.7799,41.579998,141.75,62.100002,2200.32,44377.598,50.3,131.64119
22372.05,280.28,560.56,440.44,234.07999,-35.42,51.3,16.2,601.6,2474.24,50.3,1.5981498
14233.2,38.5,92.399994,135.51999,-9.24,46.199997,21.6,16.2,168.95999,363.52,50.3,-0.3268416
32700.69,414.25998,36670.48,4632.32,871.63995,27.72,230.85,118.8,1268.48,19283.2,50.4,115.28068
19064.31,241.78,954.8,308.0,36.96,238.7,82.35,-45.9,518.39996,2301.44,50.4,4.1932497
10808.88,84.7,144.76,123.2,58.519997,231.0,33.75,52.65,144.64,805.12,50.4,0.38872337
18175.17,220.22,512.82,292.6,155.54,164.78,74.25,21.6,785.92,1850.88,50.4,1.9257307
35680.44,688.38,43198.54,5924.38,1435.2799,535.92,263.25,-43.2,2664.96,32976.64,50.4,124.54132
17453.94,123.2,13565.859,1838.76,251.01999,93.939995,-31.050001,-36.45,756.48,9472.0,50.4,79.59381
15539.94,314.16,9757.439,1593.8999,264.88,38.5,-43.2,39.15,792.32,8734.72,50.4,64.10801
16617.87,123.2,19290.04,2653.42,197.12,-24.64,-10.8,58.05,627.2,9788.16,50.4,119.36651
29487.78,454.3,44051.7,5513.1997,709.94,126.28,93.15,12.150001,860.16,21171.2,50.5,153.90608
14574.24,124.74,3768.38,637.56,204.81999,78.54,25.65,90.450005,843.51996,4522.2397,50.5,25.811224
19203.51,244.86,540.54,440.44,83.159996,-27.72,98.55,49.95,711.68,2572.8,50.5,1.9187379
28161.03,515.89996,639.1,445.06,434.28,106.259995,85.05,-13.5,1300.48,3788.7998,50.5,1.3532505
20840.85,218.68,691.45996,223.29999,215.59999,12.32,35.100002,60.75,711.68,2183.68,50.5,2.4403253
20348.43,272.58,3480.4,611.38,92.399994,107.799995,-58.05,14.85,757.76,4188.1597,50.5,16.735611
17944.62,269.5,241.78,361.9,246.4,18.48,10.8,54.0,492.8,751.36,50.5,0.39712095
13846.92,118.579994,15059.659,1861.86,411.18,70.84,55.350002,18.9,526.08,8558.08,50.5,111.77422
18619.74,177.09999,19922.98,2912.14,498.96,103.18,28.35,-28.35,716.8,11313.92,50.6,109.950325
23886.72,232.54,14654.64,1925.0,457.37997,160.16,128.25,-17.550001,815.36,11147.52,50.7,62.61602
15118.86,223.29999,58.519997,69.299995,56.98,-6.16,83.700005,32.4,167.68,357.12,50.7,-0.5986409
26082.6,275.66,11194.26,1610.84,286.44,-23.099998,-35.100002,-59.4,1123.84,10682.88,50.7,43.50332
23946.75,304.91998,10256.399,1615.46,271.03998,16.939999,71.55,9.45,939.51996,9125.12,50.7,43.41158
18512.73,277.19998,733.04,480.47998,87.78,-24.64,62.100002,82.35,733.44,2209.28,50.7,3.1058688
43864.53,640.64,98761.734,12284.58,1752.5199,266.41998,68.85,37.8,1702.3999,35302.4,50.7,232.4657
16312.5,170.94,11473.0,1379.84,249.48,107.799995,12.150001,0.0,624.64,9105.92,50.7,71.92969
27608.58,375.75998,1461.46,599.06,304.91998,60.059998,112.05,54.0,707.83997,3480.3198,50.7,4.4889684
17527.89,154.0,19039.02,2434.74,275.66,41.579998,4.05,-63.45,586.24,10220.8,50.8,111.63226
21782.19,329.56,100.1,107.799995,77.0,38.5,156.6,43.2,92.159996,646.39996,50.8,-0.5234808
16502.16,160.16,18245.92,2377.76,445.06,27.72,29.7,24.300001,590.08,10529.279,50.8,113.64967
25580.61,354.19998,8588.58,1404.48,263.34,53.899998,90.450005,-9.45,1053.44,8418.56,50.8,33.814358
32781.6,295.68,50544.34,6495.7197,867.01996,164.78,48.600002,-63.45,1267.2,28162.559,50.8,158.87856
14144.46,90.86,16668.959,2362.3599,181.72,32.34,-20.25,47.25,358.4,8779.52,50.8,121.19965
13433.67,66.22,81.619995,64.68,110.88,55.44,-4.05,28.35,330.24,875.51996,50.8,-0.3699866
23329.05,274.12,11141.899,1600.0599,294.13998,35.42,72.9,28.35,654.07996,8320.0,50.8,48.523354
18749.37,197.12,16849.139,2420.88,304.91998,104.72,22.95,74.25,977.92,11022.08,50.8,92.18348
37394.34,911.68,145402.17,17291.12,2102.0999,235.62,164.7,40.5,2182.4,45569.277,50.8,402.19293
16384.71,206.36,539.0,300.3,174.01999,121.659996,110.700005,-2.7,520.95996,1765.12,50.9,2.4111269
26663.76,368.06,24184.16,3237.0798,366.52,43.12,198.45,12.150001,995.83997,16750.08,50.9,93.04972
15722.64,149.37999,15179.779,1721.72,195.58,98.56,-29.7,-54.0,577.27997,10407.68,50.9,99.112404
20569.41,234.07999,20104.7,2828.98,853.16,555.94,210.6,8.1,1018.88,9487.359,50.9,100.349976
