FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
24416.55,394.24,900.89996,400.4,232.54,20.02,52.65,-78.3,928.0,2840.3198,48.3,2.8259573
32651.97,585.2,917.83997,457.37997,377.3,-7.7,153.90001,6.75,1713.9199,5034.2397,48.3,1.9147778
12508.86,103.18,291.06,206.36,-63.14,3.08,59.4,-18.9,524.8,1080.32,48.3,1.4127519
18643.23,251.01999,123.2,84.7,169.4,-52.36,25.65,-6.75,340.47998,796.16,48.3,-0.31476837
22418.16,324.94,629.86,458.91998,192.5,-30.8,168.75,-6.75,1363.2,3468.7998,48.3,1.9133451
15728.73,286.44,465.08,260.25998,72.38,161.7,55.350002,40.5,700.16,1696.0,48.3,2.0660686
14930.94,215.59999,263.34,177.09999,227.92,104.72,31.050001,27.0,366.08,733.44,48.3,0.82884765
15726.12,252.56,369.59998,166.31999,294.13998,278.74,31.050001,-18.9,1263.36,2632.96,48.3,1.4370153
12541.05,197.12,474.31998,207.9,204.81999,-13.86,28.35,66.15,536.32,1816.32,48.4,2.9217997
12372.2705,152.45999,49.28,64.68,41.579998,-32.34,125.55,-16.2,266.24,378.88,48.4,-0.5869818
16299.45,169.4,397.31998,334.18,146.3,-40.04,5.4,-14.85,1226.24,2798.0798,48.4,1.5276406
17366.07,183.26,184.79999,147.84,103.18,75.46,-4.05,-20.25,273.91998,599.04,48.4,0.103438854
13839.96,127.82,113.96,40.04,-10.78,27.72,120.15,-58.05,130.56,148.48,48.4,-0.1461817
15285.9,266.41998,154.0,405.02,346.5,-1.54,135.0,-1.35,529.92,1003.51996,48.5,0.04466629
14917.89,121.659996,229.45999,301.84,-3.08,-30.8,24.300001,-51.3,756.48,2295.04,48.5,0.5949514
13777.32,172.48,294.13998,247.93999,226.37999,66.22,52.65,-33.75,587.51996,1454.08,48.5,1.213794
18594.51,269.5,472.78,351.12,198.65999,43.12,-31.050001,-35.100002,734.72,2277.1199,48.5,1.6364663
16024.53,309.53998,412.72,314.16,301.84,20.02,52.65,-35.100002,925.44,2554.88,48.5,1.6706569
9931.92,206.36,170.94,283.36,284.9,58.519997,17.550001,17.550001,320.0,683.51996,48.5,0.7846719
9685.71,183.26,52.36,246.4,93.939995,16.939999,102.6,-31.050001,113.92,436.47998,48.5,-0.43944776
29729.64,472.78,540.54,506.65997,559.01996,423.5,106.65,33.75,1323.52,3055.3599,48.6,0.8853241
16138.5,283.36,603.68,218.68,127.82,149.37999,89.1,-13.5,833.27997,2097.92,48.6,2.8787475
22142.371,426.58,734.57996,358.81998,337.25998,-50.82,51.3,4.05,1322.24,3485.44,48.6,2.4400349
19179.15,335.72,95.479996,149.37999,83.159996,-46.199997,27.0,9.45,154.87999,567.04,48.6,-0.48378468
17858.49,308.0,572.88,292.6,164.78,12.32,95.85,-18.9,858.88,2147.8398,48.6,2.3263412
13950.45,214.06,494.34,69.299995,92.399994,56.98,5.4,13.5,478.72,1675.52,48.6,2.6743913
12750.72,203.28,485.09998,357.28,446.59998,150.92,62.100002,32.4,768.0,2300.16,48.6,2.9449768
18608.43,194.04,491.25998,287.97998,283.36,6.16,39.15,-43.2,933.12,2205.44,48.7,1.7374711
19882.11,318.78,860.86,557.48,337.25998,126.28,124.200005,21.6,805.12,2817.28,48.7,3.4897065
11575.35,97.02,78.54,110.88,101.64,-1.54,176.85,27.0,224.0,509.44,48.7,-0.29643428
13322.311,181.72,441.97998,164.78,124.74,-9.24,68.85,17.550001,524.8,1999.36,48.7,2.440099
