Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_010_010_FITC
306.03207,323.50208,257.9472,206.09389,182.5735,208.8779,170.35168,146.36688,3.184382,1.9341209
336.0373,212.2472,239.47394,177.06221,164.91821,198.19257,177.0675,171.02815,1.9663627,1.1458437
353.48132,350.7268,312.99747,242.16884,233.70824,182.07822,158.86661,138.73033,91.31304,1.2361553
429.9396,1156.702,298.63626,201.51607,171.42465,201.0862,142.28177,0.98837805,139.36208,2.5478725
473.9848,340.36972,270.8439,228.20398,219.04144,214.93523,225.6602,138.65071,102.623886,1.8266335
615.9844,318.07846,286.37772,176.5316,0.66876936,174.69724,169.6171,143.74123,39.072075,0.44638264
348.18158,289.4891,373.33322,220.11288,203.20374,190.62962,173.86668,172.37102,95.516174,0.969506
393.81488,390.65466,309.9076,331.05136,242.48706,189.0026,214.12276,117.55745,-0.03440833,1.9958332
395.91788,280.7476,27.053656,192.70844,227.69638,183.4783,184.92322,172.18343,127.08029,-0.15223497
565.1044,0.30068827,275.12024,199.60815,197.31197,176.47119,193.03899,146.77414,81.62226,1.6884742
616.186,478.17218,263.5151,206.14458,192.17741,231.00218,185.70789,194.3122,97.81276,1.508265
514.57684,406.91516,296.69806,198.7823,218.50484,230.15103,180.71239,154.52147,67.075455,0.32816124
460.8293,530.50366,216.33415,189.9743,168.30885,191.83856,153.62007,178.03896,86.28788,1.9946966
464.61923,277.63367,316.13803,180.87094,0.33095622,200.63312,167.40474,171.05334,151.5482,2.876502
489.63898,211.96655,279.82953,194.01262,153.39153,191.57144,172.87566,123.33416,75.04695,0.050045013
1.1620362,399.91815,253.25848,181.8405,3.1951885,196.90259,161.33038,144.16505,76.5248,2.6159275
497.86273,381.0369,299.21518,174.81232,239.19456,186.7746,154.86452,164.88551,110.77824,1.155911
254.6636,301.6209,229.45656,171.21745,242.76013,176.19923,199.54292,143.92632,107.922134,0.7778126
334.0609,226.56625,258.96542,191.58646,259.26843,220.78397,166.88448,125.0658,3.56843,2.4833784
620.39294,290.04242,274.41547,214.91858,181.42357,224.84639,180.87804,146.41904,87.20627,2.1839554
244.48912,353.9395,241.8064,199.02576,214.95473,174.3395,162.53174,176.78273,68.4376,0.13247788
488.1652,528.172,269.26825,214.01956,266.8494,212.2468,173.21603,153.29674,123.63007,1.7554212
308.4196,316.73538,284.8435,266.64807,193.66818,173.11992,156.56747,146.51077,56.895,1.2202883
295.5411,365.37885,295.35413,220.91118,236.33514,220.1583,137.10957,150.69931,-0.71401507,1.4539351
436.10004,333.14365,237.25221,230.33557,201.39252,175.73994,184.68315,163.36984,1.3675675,-0.16116375
467.91214,305.85022,325.3564,260.65143,252.26723,212.3498,167.77393,169.89563,97.688934,3.6373558
302.0135,459.13242,296.37112,172.44687,237.57942,185.47162,160.86288,141.70378,2.403824,2.5605972
352.26135,344.11566,244.88947,256.4226,204.63028,229.83617,167.27196,153.74078,66.46039,3.1619167
410.72388,370.76617,273.7453,208.6007,197.44884,213.06331,210.91078,193.73543,46.700012,-0.5770462
616.9575,331.61108,240.83746,196.01688,170.00108,177.2962,154.0968,159.83818,76.393585,2.9202352
315.472,277.20035,277.65833,181.98131,246.76361,1.9997365,171.62195,184.5064,56.47356,-0.6195257
242.92749,323.8704,240.53145,208.11813,177.67023,154.0849,144.7264,128.85927,31.497688,-0.050768614
324.31528,351.18118,290.09177,247.97226,182.48708,188.16,159.6866,177.73174,160.23395,1.7970521
487.96964,462.22455,386.1263,217.54544,208.15541,193.44096,184.8804,151.39888,131.64119,0.3184557
374.59598,347.0474,352.84732,246.60603,191.58687,189.37292,154.66562,136.36415,1.5981498,1.8681355
452.23685,433.98392,281.85767,254.5239,229.49606,168.22742,161.28589,142.66492,-0.3268416,2.5773275
300.02853,269.8653,276.0357,215.53375,168.66118,217.55872,160.00381,148.98225,115.28068,-0.013601124
519.5528,459.27548,267.41827,215.34111,266.67084,182.562,186.9146,168.35509,4.1932497,1.1684651
315.1658,316.23605,233.5061,170.74104,230.80411,209.24374,164.32999,142.20897,0.38872337,-0.19171935
264.67902,305.81058,286.99768,211.24701,177.99579,208.68272,-0.61133325,133.44331,1.9257307,0.86586
492.31558,332.2447,370.3041,183.2589,209.5853,195.879,172.00919,139.19176,124.54132,1.9213033
472.88165,477.32004,340.4212,222.23598,168.51776,186.60147,154.77063,170.13121,79.59381,2.6318305
403.85037,264.42453,284.7087,196.50665,179.51283,202.69997,180.94444,147.48749,64.10801,2.3284514
274.06927,330.56503,301.20483,221.2248,216.64168,197.26826,148.6543,168.72954,119.36651,1.5293431
463.87375,574.6886,287.83655,230.61838,210.89894,195.71295,179.86577,152.63835,153.90608,0.29780233
388.81833,239.94862,280.46732,180.5081,222.55336,188.06744,146.0464,154.66922,25.811224,-0.41867757
592.29346,368.14014,270.88065,219.42464,222.81,170.302,162.03561,211.11282,1.9187379,-0.0790202
529.6742,386.31213,232.67049,218.41234,186.6873,182.0655,175.4505,161.53801,1.3532505,1.1763775
362.3659,373.96124,291.58804,230.71852,168.96892,166.8713,130.09207,134.0588,2.4403253,2.399782
285.9704,290.09024,232.13043,223.6127,226.76207,202.6095,180.7933,167.7395,16.735611,-0.33678085
396.07837,417.9828,229.55562,224.79636,213.90643,213.01361,206.38165,145.28941,0.39712095,2.1541948
489.59885,405.08426,283.27307,191.38484,198.53111,196.22151,175.58122,195.76169,111.77422,0.6480825
534.88586,298.667,198.94762,162.19739,219.23605,216.48766,145.74628,126.946144,109.950325,2.9251287
435.21695,374.43777,263.3918,3.9323573,190.7394,204.26785,177.44774,128.58015,62.61602,2.0758793
543.0209,332.75574,215.48895,268.73904,213.21315,188.69023,0.182307,171.50095,-0.5986409,1.8328853
609.1323,488.291,225.44914,197.91348,206.64664,198.87825,166.03654,149.08943,43.50332,-0.35451645
269.6712,230.49751,320.8308,211.70694,187.35234,178.84935,175.76152,153.23216,43.41158,1.2247212
352.9649,321.95224,271.10233,187.94218,221.4239,217.22298,161.96315,211.58116,3.1058688,3.000537
363.25412,258.6186,260.88422,201.2659,223.03616,189.04924,243.27817,135.91434,232.4657,0.48099518
374.94073,298.74042,293.80884,174.62221,161.08293,204.91562,1.6476746,176.45338,71.92969,2.5702488
498.13727,446.22366,250.23941,195.49347,188.07571,200.42567,203.78987,141.62189,4.4889684,2.9706798
534.5706,259.67752,227.00075,2.7789793,208.84586,204.56628,177.72086,178.01874,111.63226,1.533534
358.30914,208.6952,254.81847,211.1765,195.93336,179.75856,180.76138,143.53915,-0.5234808,1.520042
409.8184,253.06744,323.60062,218.46002,296.58124,188.09668,172.36067,146.5886,113.64967,2.434385
399.40726,321.0287,225.77637,232.47217,205.01082,208.25864,155.37033,129.62077,33.814358,1.2856045
307.33145,273.74185,209.78766,229.37462,235.02722,0.437068,176.05571,142.44032,158.87856,2.2399504
443.94662,304.71017,213.26112,193.34244,189.42014,212.30742,173.05402,130.59192,121.19965,-0.169375
459.50003,440.29263,333.65207,2.2788231,215.80206,187.20688,162.06947,131.08272,-0.3699866,1.1986258
507.25464,2.1514301,215.96013,230.67723,370.56866,224.15082,171.49376,1.0246248,48.523354,2.6212332
451.44693,293.97812,244.3411,207.94022,233.34608,201.44296,152.08551,154.30412,92.18348,0.95742905
399.56223,404.5746,281.62424,227.05074,224.45697,203.70192,168.47643,149.0831,402.19293,3.1549997
282.16595,1.7340703,283.59076,214.84232,3.137879,173.09082,165.09346,158.02708,2.4111269,1.824333
401.74368,413.6379,222.47859,241.28635,183.08243,198.62105,162.63246,151.73363,93.04972,2.3402991
555.14075,305.09225,274.07477,241.88057,198.23683,229.89035,162.72636,139.74597,99.112404,1.8608398
638.09924,609.44745,232.23506,158.50464,201.25488,186.70299,195.16797,142.2138,100.349976,2.503502
435.53784,430.65714,0.32204354,181.00063,170.66986,191.25644,167.82654,168.05992,57.15469,2.2512403
419.43018,445.2456,263.2677,208.07756,204.67249,212.24113,182.45271,169.3245,2.7201023,-0.95652926
443.81305,429.4896,223.89975,231.86467,219.60909,177.54243,-0.21935731,144.14587,51.356785,2.397397
287.57526,330.68976,231.9742,162.52895,0.74748755,191.12306,0.0047650337,188.81984,121.119774,1.3602307
353.41858,244.71547,314.4018,184.29779,181.35353,207.2691,61.92607,154.59181,112.245056,1.0489681
446.34183,341.87585,362.5717,276.7383,202.7568,177.89055,147.19255,152.95517,68.95374,0.86301386
426.37827,512.7587,395.37195,444.0854,227.9034,204.07901,158.03896,165.08412,193.70439,1.631475
159.68727,444.14542,279.05014,163.20622,193.56758,219.82924,167.3584,147.85489,60.85331,2.0027785
293.3511,413.39133,290.36722,274.78476,217.26836,341.99622,151.38513,154.53137,1.166934,3.0852604
356.12653,333.5366,226.62686,191.81995,248.86847,216.21336,163.03873,146.4516,0.5059829,2.4155343
486.517,275.6351,209.05931,197.02187,197.07089,198.50081,181.9532,177.5804,1.5698044,2.8147118
332.7229,495.59192,306.07178,224.23262,202.4794,184.28464,163.97752,179.9239,10.116675,-0.56406075
515.88074,335.06027,228.31891,187.42908,223.29257,191.35513,172.0772,148.93097,131.57724,1.7348382
483.93854,433.8625,236.93367,185.23524,179.1812,211.52345,187.91557,139.2036,2.601505,2.6538298
359.88425,410.97903,284.64325,239.2056,224.75124,0.35916126,264.6062,126.228935,39.127213,-0.27762347
677.8604,253.97841,233.0891,230.0352,2.7059417,212.76898,158.28308,116.01842,107.46956,0.1722858
379.50613,419.43112,264.9515,255.99594,415.63437,1.7982228,206.81543,140.86159,34.45508,-0.4436952
511.25494,488.22345,244.00476,227.63412,184.80275,235.65437,145.73576,163.40315,82.74429,0.18828678
369.10504,272.2847,277.012,-0.2560882,227.99231,168.56412,181.35187,153.97662,90.50545,2.525637
263.87064,302.79913,376.01132,191.69394,214.74951,201.9161,205.73537,171.6607,81.83533,-0.24635077
198.77612,301.12918,278.97488,190.1897,10.409087,198.3591,80.84738,189.87892,86.09058,2.219062
278.66815,305.0375,251.54991,208.23517,180.2312,216.24095,159.49477,153.98361,108.8567,1.5989485
407.79187,351.80096,309.21347,189.51123,235.76859,171.91579,221.50383,196.73912,145.49693,-0.5304101
259.27628,412.48145,0.6798403,174.97502,160.63708,186.43243,170.51808,142.83394,0.49640453,1.7953587
263.36392,407.71777,286.32367,194.01045,214.58046,193.3481,184.41933,136.92232,123.20746,5.3596797
535.2069,370.69495,258.41125,207.35796,206.91095,213.36743,175.47113,155.8172,96.41991,0.38137126
612.02936,432.92566,301.88165,195.31548,203.60579,205.5211,174.60097,143.40959,31.467262,-0.42786032
413.1423,396.25955,278.1535,214.63937,181.38937,202.81497,172.81958,198.68727,54.6809,2.2314765
383.59958,330.04346,330.03903,201.29897,230.53682,202.32079,166.06564,131.65729,28.225492,0.5665537
382.59848,197.96686,256.7405,195.15407,187.88591,426.94598,157.06079,187.94254,209.36183,1.5063949
278.93088,527.45386,291.75134,220.81406,179.70479,201.82834,172.91943,233.12445,2.1669974,2.1838071
240.08774,286.1342,297.37222,218.83257,219.41096,222.62053,184.57396,161.22739,136.4043,3.1144648
298.09357,300.7058,1.419348,195.90999,286.81638,174.5818,168.35713,151.73518,57.73734,0.8211266
225.78067,374.7337,249.55785,185.7094,252.62163,209.88797,161.77283,136.98984,132.38284,3.128069
341.37033,455.27957,345.16324,186.57477,203.94473,230.43916,3.1123915,140.48465,100.68375,0.07788849
301.29236,465.5383,247.60785,256.71786,213.24098,217.76208,173.9,151.35661,84.08923,3.1140656
383.92636,343.7738,210.78087,181.85744,224.58446,222.1541,155.63141,167.04588,11.290994,2.1730704
230.52591,284.31744,211.35767,217.98021,193.45033,235.32652,173.86081,148.26863,37.347485,1.1203263
504.49445,-0.29030925,270.50815,223.25046,212.9498,209.29872,146.21608,155.63475,102.629105,1.2850306
348.74072,435.7361,731.35596,218.66898,218.38892,210.5043,177.82915,140.79466,92.12623,-0.41054624
415.7254,469.80298,383.0526,179.64536,309.63947,189.64688,167.76962,101.69816,2.5928042,1.5956001
405.54526,348.28287,267.60593,197.38966,80.36439,177.9988,161.95651,147.5813,78.57899,-0.8579717
490.354,334.2366,316.6357,195.84183,171.63689,182.84543,177.02684,158.30983,55.741734,0.4133637
197.10934,360.52463,0.3391856,0.09311962,216.15668,232.56253,163.78822,197.29124,78.68536,1.9847791
287.35547,470.97537,284.3605,175.57924,257.19223,179.49455,169.0903,149.57399,3.1126194,1.8056896
207.22934,382.3957,226.57552,209.7708,173.96236,219.35756,197.79842,202.26633,2.2653058,1.7127476
403.42194,304.58972,343.65387,189.6824,179.83386,191.10062,169.46407,173.82367,3.1745272,1.4785991
208.93286,333.0262,278.26965,244.23885,219.97708,216.93214,1.2100308,199.1562,84.77003,2.3481455
348.69537,451.12057,223.57872,262.97424,223.28261,221.48108,174.42659,122.970215,90.608444,2.7486072
317.35925,342.76584,0.38031018,244.27939,226.02686,208.1053,189.7359,138.10953,117.26402,3.3578076
321.5009,261.45648,310.6287,231.31003,181.92116,188.26555,145.72006,180.61426,62.1285,1.2650995
293.42398,277.25732,251.2389,200.12875,163.81516,217.9484,171.81548,132.89125,132.06958,0.6370826
463.27316,459.71167,280.6467,236.67328,177.30873,184.66196,155.86514,133.68105,26.227543,-0.33359182
471.7649,261.53513,304.4781,209.94254,257.69608,191.09048,174.2354,165.21419,52.035187,-0.767593
257.47958,289.40707,2.4240134,231.02278,182.71571,0.6392728,2.266664,145.03023,102.06001,2.1086898
424.4645,324.38153,266.0556,211.20746,181.69466,201.35869,187.85216,202.7874,2.506555,2.5415244
392.79428,441.38693,256.30048,258.473,203.34085,2.754216,155.87325,151.36792,-0.5933838,0.036088347
322.09082,323.5161,264.26572,177.95015,251.22324,172.59924,174.6059,158.23024,201.46529,2.1323087
321.0454,345.11945,241.9758,225.97247,1.9007854,189.15385,175.66707,164.12093,118.748825,2.2086937
482.7219,496.407,258.49164,213.0592,191.8087,180.4528,174.89006,158.60315,88.325676,1.2709048
339.26666,431.9303,317.21698,203.29436,210.70102,235.6788,185.145,142.01611,110.5396,-0.3569355
430.21674,241.87271,262.14874,235.69548,1.8805377,196.08397,150.10191,131.0025,112.74913,1.836309
282.88116,284.51318,308.41434,233.44336,251.63953,179.1549,152.57967,0.417472,1.4882817,1.8247409
343.1398,492.31323,301.007,168.7474,240.83626,185.13791,184.28883,188.69649,2.7126403,2.8841736
408.12186,295.09006,312.7979,242.19316,222.50322,2.2749517,149.98506,137.91954,1.0447814,-0.3670432
475.50662,309.588,293.5013,206.06,198.79584,195.97972,158.43596,171.12602,43.962303,-0.93469375
372.22095,702.6307,239.9131,193.30153,199.0305,201.45166,168.42805,176.32451,98.61412,2.9353142
372.18768,533.12366,504.4754,315.4745,188.92943,191.31583,177.44931,175.02391,111.349,1.6079957
457.26178,285.53326,243.73306,188.44165,186.68698,200.85687,230.19637,139.39856,102.0538,2.299737
533.083,441.6348,264.4541,245.79301,207.98904,188.89575,177.41331,180.53279,113.71476,1.489402
281.26404,2.8482077,234.84276,11.704673,392.45737,214.16228,169.38826,148.87218,100.33536,1.2433391
565.81415,307.77795,272.1112,217.58621,183.76979,198.56935,167.01477,153.69962,8.099252,1.6626196
387.32135,512.38226,277.9905,226.86742,191.39903,195.62645,141.91609,156.30249,-0.023453772,2.1062908
507.82227,324.59506,215.07564,210.54398,181.19533,188.96068,160.83765,153.96672,303.32614,0.22992265
429.91913,278.26733,243.19482,184.64882,213.9647,198.50589,145.28705,175.86641,122.95408,-0.62615484
397.7429,412.67392,245.73016,251.32927,266.93057,182.31029,178.80054,151.67268,90.59439,-1.1292894
485.75815,251.12242,239.11427,183.17255,197.25931,190.11482,189.45712,165.06454,93.75836,-0.28797835
373.36578,611.03955,296.58374,192.70055,213.2565,1.6368196,174.61427,143.85364,96.62086,-0.20968652
276.2993,363.0649,342.59848,240.7581,181.08325,128.6041,168.6331,153.4898,55.7654,-0.3832397
339.22134,265.47733,278.86917,210.87932,204.49828,209.2473,164.79797,132.89226,10.758705,1.3065803
454.0807,275.25705,243.17157,218.17787,194.11647,206.46654,0.63477826,175.56961,2.4099953,1.5094054
585.4517,312.4235,326.02258,208.93419,201.00905,185.33946,138.01651,149.28773,94.44055,0.6473763
424.05872,420.827,269.45917,242.25674,172.32562,229.21161,0.9849005,1.5260847,69.96392,2.4158928
410.8265,354.1134,300.95526,185.42143,-0.24638534,216.29712,129.03706,161.84149,115.47449,1.8290644
246.89755,267.91943,223.73793,238.59662,190.93857,194.28549,149.47719,126.37357,-0.39419872,3.1873274
316.95453,464.86057,257.70273,212.77544,192.57439,188.78035,180.6743,176.75114,69.238045,1.8293104
394.4265,344.5655,257.65863,258.75058,208.67822,195.12874,158.47108,167.63783,88.35554,1.728507
259.094,322.50473,253.41405,192.99959,204.74275,230.55939,181.77022,166.07574,132.07935,0.8604717
264.6827,320.11804,0.047419906,200.94843,198.03822,193.37938,178.46324,144.847,94.33088,2.0606816
342.61542,374.13095,274.71024,198.82729,260.84302,173.77992,179.7719,154.02771,1.7259896,3.8491163
308.9968,471.5438,341.802,204.10071,231.45561,193.21465,2.3455522,156.30536,56.44801,0.028759599
261.01553,336.57748,0.79542685,228.21646,190.48534,158.87512,173.65872,191.48996,1.55719,-0.673648
282.23093,323.94107,337.95544,205.26172,170.40562,203.2277,192.70943,152.36913,11.091954,2.1377282
373.34918,462.37723,284.1956,188.41583,213.38019,217.73492,185.48335,133.87642,82.62306,2.81402
359.0148,343.46005,250.5275,205.77084,240.84244,142.83783,174.9537,178.68349,34.070133,2.9864917
361.65686,265.69595,289.0453,209.76723,199.73819,196.83449,164.42664,202.71332,2.0392313,-1.165519
315.91254,277.86893,300.68018,228.99397,213.55374,175.3878,193.4274,146.5037,33.621895,2.665376
435.47076,400.19284,225.98923,186.21133,197.37068,207.69217,162.1903,126.744286,95.48042,1.1921935
493.57404,440.7403,293.17264,179.84526,232.4586,237.18536,147.55121,163.43642,2.2439194,2.201527
387.08948,348.333,313.8823,208.73793,213.60672,177.6999,3.641096,157.0848,78.506355,-0.19262135
396.36703,495.16925,314.84485,251.93657,181.9416,589.49884,147.856,194.0363,127.84415,2.8465085
407.80786,383.81412,231.46538,211.97832,195.46007,179.82169,160.44322,145.30197,45.618893,0.1404655
334.8025,441.62857,258.6286,189.0729,217.80249,167.98706,134.26054,157.52242,-0.3035308,2.2810087
609.53455,233.14734,294.8467,210.63622,180.49017,183.61578,145.52635,207.91608,119.578445,1.5323074
528.6589,364.43912,190.6319,197.37254,200.3667,189.91277,177.78201,158.21248,109.24868,0.113067985
209.67693,338.78073,461.21692,210.78677,202.34392,201.51091,150.10025,142.36835,37.025566,0.11853433
430.91074,380.72702,237.95631,235.31813,174.66835,226.2678,161.71135,161.42175,144.32886,0.04495895
308.2556,258.86655,291.88605,212.3649,153.71104,207.26964,167.1003,166.8404,21.15551,1.9359322
300.46982,383.41333,214.98653,0.31148183,304.62946,0.88602424,153.29515,163.50832,124.90125,1.3045347
300.14365,566.3323,271.1121,169.52252,208.32494,217.11258,169.83342,130.33493,39.948647,3.404252
459.70267,365.52734,391.81952,214.40506,231.86653,186.87851,163.00833,161.29297,43.16525,1.9120815
447.23944,309.4808,293.62683,209.23108,170.54993,190.3661,149.39252,217.79175,4.010974,0.3823477
465.89642,301.24396,231.80566,192.36118,246.44269,200.71376,166.44118,180.10887,22.309345,3.6105866
533.9124,380.05844,266.2373,181.02817,260.64096,220.59482,194.32483,127.1393,1.9553497,-1.2775586
493.0922,260.6612,258.39703,182.79552,192.45103,172.09361,154.31744,151.39282,96.56118,1.707988
0.65744174,416.7966,251.99442,204.54547,211.88022,223.12581,153.78554,134.96805,2.0280368,-0.22661042
515.6296,271.3255,367.93033,219.45482,242.02986,160.08955,173.891,171.43416,80.6062,1.1829798
460.63693,324.1332,239.53932,225.93413,189.16733,192.38043,219.24487,146.07664,37.85666,1.4100652
657.5481,337.37955,285.39136,194.83578,239.69122,257.92984,175.5599,135.949,87.597244,2.2936428
469.68536,487.00034,249.15807,274.78287,269.16177,198.55788,166.1721,127.09737,61.99524,2.3709366
513.8672,283.3878,267.19272,174.55083,233.61551,177.75063,195.91093,144.40274,2.8402352,0.29393065
383.94684,241.19589,267.36728,252.42827,186.69246,199.66983,205.96399,200.58038,3.244536,0.33243585
343.11053,300.52762,260.23035,194.01488,194.40866,198.64563,171.03636,157.10739,1.9404988,-0.06602734
485.3637,425.84637,248.30927,170.03436,196.71445,192.2017,174.47937,135.75061,3.9059038,2.43339
394.83704,563.6708,1.1801388,220.2399,172.61479,185.05453,161.76242,162.74756,93.14988,3.7509613
397.45648,286.53894,316.16156,360.9333,170.08914,177.0021,158.76149,160.43587,85.48659,2.305963
619.4828,227.6543,278.70175,186.51279,234.5299,183.8109,176.4371,140.83443,0.7106545,1.7912846
392.51355,381.34302,1.4801185,305.42972,206.03195,178.45709,161.4408,186.67996,77.39409,3.0144725
491.61285,335.30872,0.35503376,212.60419,243.0832,301.426,171.01231,213.64511,126.316414,2.6576838
462.56564,265.17987,317.8124,217.91492,224.23793,192.13625,0.3096676,188.54369,0.6134188,-0.057702005
461.4003,442.0286,250.75517,186.71964,274.39267,211.16577,222.335,164.64697,60.131958,-0.574193
