FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
33182.67,189.42,65356.06,8117.34,1167.32,-32.34,102.6,-54.0,462.08,5322.2397,57.6,203.23134
21040.95,121.659996,36485.68,4201.12,235.62,104.72,112.05,-28.35,65.28,2974.72,57.6,178.80634
17350.41,92.399994,32926.74,3937.7798,408.09998,-3.08,85.05,-28.35,227.84,2522.88,57.7,195.78267
25352.67,226.37999,46200.0,5557.86,572.88,291.06,166.05,-18.9,437.75998,2794.24,57.7,187.95837
16940.64,147.84,28964.318,3665.2,525.14,-20.02,59.4,-35.100002,166.4,2928.64,57.7,176.28882
15755.7,77.0,34057.098,3834.5999,369.59998,107.799995,93.15,74.25,227.84,2764.8,57.7,223.1392
25195.2,246.4,29132.18,3749.9,474.31998,127.82,89.1,31.050001,488.96,2730.24,57.7,118.89555
14204.49,-6.16,24687.74,2930.6199,358.81998,106.259995,20.25,21.6,55.039997,2065.92,57.7,179.22025
13893.03,72.38,24547.6,2825.9,314.16,-46.199997,78.3,-28.35,180.48,2101.76,57.7,182.21454
25845.09,112.42,52837.4,6255.48,460.46,163.23999,-20.25,10.8,208.64,3404.7998,57.7,210.98799
17265.15,120.119995,31871.84,3882.3398,468.15997,-7.7,75.6,78.3,163.84,2284.8,57.7,190.41882
18979.05,81.619995,38469.2,4544.54,374.22,155.54,48.600002,-13.5,212.48,2997.76,57.7,209.17766
28494.24,195.58,52136.7,6360.1997,543.62,86.24,-1.35,-14.85,221.44,4737.28,57.8,188.72926
24355.65,150.92,44330.438,5639.48,572.88,181.72,-2.7,8.1,344.32,3851.52,57.8,187.73401
37805.85,206.36,75124.28,8932.0,646.8,200.2,-10.8,27.0,693.76,7330.56,57.8,205.04837
24209.49,92.399994,43266.3,4951.1,865.48,92.399994,-9.45,37.8,262.4,3118.0798,57.8,184.3156
25001.19,190.95999,48279.0,5631.78,566.72,-24.64,-5.4,35.100002,285.44,4721.92,57.9,199.23753
8627.79,27.72,67.759995,89.32,146.3,234.07999,51.3,-56.7,248.31999,712.95996,57.9,-0.1856302
25609.32,181.72,50906.24,5864.32,557.48,137.06,33.75,-91.8,111.36,4538.88,57.9,205.12033
32008.17,121.659996,63053.758,7686.1396,696.07996,232.54,-16.2,36.45,373.75998,4618.2397,58.0,203.2669
15785.28,29.259998,28867.299,3606.68,348.03998,135.51999,-17.550001,35.100002,7.68,2394.88,58.0,188.62769
18798.09,120.119995,32635.68,4121.04,340.34,36.96,47.25,-5.4,64.0,2548.48,58.1,179.0225
25969.5,189.42,49674.24,5895.1196,546.7,12.32,-1.35,20.25,147.2,3681.28,58.1,197.34238
36959.34,312.62,73630.48,8587.04,777.69995,-44.66,78.3,-55.350002,465.91998,5516.8,58.1,205.57668
18165.6,149.37999,37169.438,4379.76,458.91998,77.0,-10.8,12.150001,276.47998,2963.2,58.1,211.17007
24533.13,223.29999,43814.54,5530.1396,645.26,141.68,2.7,-24.300001,316.16,3861.76,58.2,184.18814
13993.95,95.479996,24609.2,2875.18,386.53998,167.86,-10.8,-83.700005,113.92,2423.04,58.2,181.34969
34425.03,178.64,56639.66,6719.02,790.01996,261.8,27.0,-10.8,577.27997,5783.04,58.2,169.60596
10543.53,124.74,154.0,180.18,314.16,126.28,91.8,-44.55,528.64,963.83997,58.2,0.5145463
28147.98,150.92,55601.7,6752.9,693.0,98.56,0.0,-12.150001,262.4,4467.1997,58.2,203.8277
30157.68,271.03998,55535.48,6586.58,636.01996,123.2,98.55,31.050001,478.72,4879.36,58.2,189.95036
16593.51,149.37999,36559.598,4316.62,348.03998,115.5,39.15,81.0,295.68,3178.24,58.2,227.46045
