Specimen_001_Tube_001_001_FITC,Specimen_001_Tube_002_002_FITC,Specimen_001_Tube_003_003_FITC,Specimen_001_Tube_004_004_FITC,Specimen_001_Tube_005_005_FITC,Specimen_001_Tube_006_006_FITC,Specimen_001_Tube_007_007_FITC,Specimen_001_Tube_008_008_FITC,Specimen_001_Tube_009_009_FITC,Specimen_001_Tube_010_010_FITC
272.0154,291.9509,297.9188,202.38754,208.03864,190.24019,194.43349,347.46967,212.59354,176.80208
285.03302,271.1322,233.90376,212.22745,196.58511,237.28928,232.68143,195.49333,203.98428,183.01707
251.97464,222.16957,300.60303,267.41382,219.38698,200.57867,190.44951,161.84853,231.34785,182.20009
265.6294,257.63123,233.50479,258.15848,210.17285,206.4116,198.81435,181.67735,224.5679,179.72066
332.46017,332.33432,288.9725,220.01387,239.72177,228.4335,249.21146,211.69104,224.79193,173.98325
348.0311,260.00967,228.36707,240.3335,194.35832,188.36865,175.72171,216.09303,211.18414,151.60345
220.44307,261.9486,265.25485,220.72525,210.19377,193.85431,211.98405,232.92299,225.81348,229.03104
333.2056,320.51898,178.63493,300.22153,213.04295,203.70175,235.30467,219.25359,217.95932,192.6752
379.7295,294.72348,273.74728,242.35393,211.94223,216.90657,207.27649,218.52692,192.57864,193.41595
250.00394,317.12433,306.59586,428.97964,183.847,213.59224,203.232,204.43735,142.8576,155.206
236.33617,224.793,272.62436,211.97849,197.56888,193.68427,201.05328,197.2143,185.26117,156.43364
270.62036,323.25513,212.171,216.29712,205.28607,192.05904,202.4177,208.62936,228.44432,233.56618
264.73245,317.66776,281.38107,260.7839,214.66797,235.08679,188.51695,216.88962,256.6709,184.95567
213.5491,240.5292,254.31273,196.05435,218.68687,217.0875,197.27422,207.99101,202.68526,186.97897
335.92014,263.16788,241.04417,209.12373,196.12308,180.4005,220.21053,210.27957,199.62604,206.99419
298.95468,301.14908,249.53775,202.27913,212.2065,180.89288,197.76389,193.97763,243.9346,166.01514
301.4114,367.88058,252.7977,246.15923,206.46341,216.85068,223.36996,181.19952,178.07034,205.10707
217.58281,282.42593,292.53394,241.21764,213.47879,208.63606,227.4191,198.95856,204.97562,157.98999
307.29547,274.69806,280.08548,214.31079,209.65186,197.40541,215.92436,180.134,195.3627,228.36678
346.4785,256.78748,207.21857,271.58258,225.31285,194.31436,206.18246,174.22868,209.41437,144.54099
209.75092,227.37003,346.53607,255.93195,185.96283,196.05684,241.1657,193.10075,212.29271,202.6786
314.43384,215.62779,257.21158,264.4147,216.73288,214.4026,180.45158,193.20769,199.57748,158.83394
263.09616,281.63617,287.50128,279.50214,208.51599,229.9344,162.13734,201.94414,193.4121,183.73056
184.86603,303.65503,245.45007,276.5129,188.8909,208.15503,223.73026,190.92671,211.38115,159.5248
277.1465,309.66245,355.76926,212.99121,205.37582,235.15053,173.67717,212.99814,220.93285,168.77316
233.00227,221.06189,296.1328,238.16911,198.19916,254.295,200.86429,180.055,164.01,156.05455
235.79788,270.317,323.0171,238.03114,201.43774,217.71552,181.9774,185.06705,204.66736,215.10338
292.83826,229.5374,299.16196,212.04155,195.21716,212.31276,211.22661,225.18573,189.05428,148.29655
347.6953,285.06244,279.1857,222.43811,243.71562,194.32777,203.10367,193.56322,188.70712,170.181
240.77664,205.25484,211.30263,243.80804,202.218,206.01816,200.8476,202.43803,258.07693,171.60698
355.92926,257.6822,311.59805,277.9943,206.71056,237.36082,184.40576,202.962,222.98323,199.33565
221.2213,281.26898,341.71863,259.51318,212.58665,175.69592,185.3598,174.76988,231.48972,175.81247
383.34247,263.62546,294.51718,269.80048,184.72743,199.64172,202.71689,183.46568,228.94475,218.4497
319.76123,309.97238,309.29852,307.40625,198.15881,177.4022,199.65076,207.04066,228.80016,188.93565
198.82796,259.02798,274.42258,218.02075,215.72649,174.88023,187.73105,223.80336,299.27182,181.34114
287.4159,319.4094,233.92581,239.61305,217.67227,202.03851,182.09967,183.10088,176.01321,169.21474
405.15897,227.39781,208.26973,245.2715,228.98679,239.40639,210.55461,179.95625,179.74034,222.6704
230.73068,403.42978,285.62607,205.54262,196.36862,206.00333,200.80128,202.93573,198.02542,187.17317
269.9866,279.59888,249.29552,225.22702,206.92621,217.31439,188.2448,227.24858,213.16434,168.8492
247.17496,283.71875,298.5404,270.06882,218.94356,199.97078,191.43414,174.7023,223.73267,195.2196
344.41415,328.92358,204.11008,278.251,210.64243,211.2746,237.96848,178.91469,199.54292,190.7366
359.13818,303.63623,297.65594,257.3957,210.21031,179.24506,192.9143,202.26247,204.9762,171.56517
227.2381,418.64496,341.82886,238.19466,209.98778,208.57973,180.5952,215.4575,210.85078,208.99573
253.80122,343.98352,309.0065,249.59619,214.67566,190.5529,178.06029,183.71617,212.08687,200.87239
332.67862,334.52734,259.15887,214.5054,167.06516,208.25728,202.53568,199.10347,214.97665,195.82999
218.28041,214.68007,218.59671,253.00555,215.70708,199.92778,214.81947,171.21622,205.43756,202.23383
236.20187,242.82777,232.94896,222.71712,222.01956,221.76883,192.5246,206.48575,201.51645,165.67218
234.35284,285.87537,230.48999,258.7447,184.02861,206.68167,182.41849,189.96996,214.52419,217.09196
303.06998,267.81097,211.90343,260.5663,241.14743,211.51907,177.85811,188.1284,214.93686,252.87122
279.48535,288.6023,243.51762,243.73016,203.47626,207.89732,276.6361,192.42624,181.0104,174.90428
429.74698,255.77853,283.26706,232.42369,248.16487,207.8344,198.68709,204.61145,168.28932,212.00679
357.7504,361.25803,239.80296,294.80594,202.44363,180.42249,183.6954,200.5164,187.96884,168.46928
272.0734,231.2749,233.5399,244.47267,210.28159,216.27777,274.37976,225.039,197.8267,187.39418
287.59473,269.92426,246.17606,218.68991,225.29147,185.11827,230.09895,236.90787,193.21269,171.904
358.89124,277.03152,252.44711,248.95934,207.8835,191.1499,205.11404,186.67989,178.60759,162.86877
223.2127,213.49275,334.4236,246.02672,193.25197,218.1398,201.57556,207.7565,191.89438,196.54466
280.9715,222.73943,293.5893,229.28452,230.1746,297.02225,210.21925,207.3089,138.46974,204.97559
338.0557,311.253,298.0708,244.92274,199.21236,190.20113,189.89368,197.59396,203.02502,193.97491
309.29294,241.62558,265.78223,238.61293,190.91498,178.24559,207.90607,219.95021,209.96027,175.9535
245.23004,262.4109,237.34955,232.6411,227.80972,190.88724,192.5559,175.92407,166.74454,182.7591
252.09949,293.50833,234.56647,279.7593,224.30402,212.61176,184.91313,190.22261,202.2825,162.60374
372.19287,222.8029,362.9683,209.9703,260.84634,215.74292,186.94965,208.3419,212.55923,209.218
292.41528,268.59778,354.52722,220.91826,187.23235,202.31851,190.5552,206.09093,164.6956,248.96404
229.5322,251.47983,230.08022,259.7711,198.52902,220.30519,174.3826,192.25336,209.16518,151.42583
248.78247,351.81705,249.23155,254.33888,228.48653,215.72144,210.62228,231.41594,183.11276,191.43135
280.34283,279.1776,235.87549,221.19164,231.05771,183.82863,208.2873,187.71515,272.95007,183.23901
241.32486,227.29901,245.45633,260.7254,225.50737,203.63646,191.22855,212.2098,181.96658,160.66212
264.31396,217.94966,6.4251075,244.62363,205.55681,175.96698,207.33954,212.39464,189.92303,192.95752
258.70813,393.79883,239.50244,308.14264,220.387,180.5169,169.82501,188.59102,205.95808,191.52477
284.49344,288.67584,237.77734,237.47926,206.2701,217.26418,190.16133,196.97026,203.74731,195.64534
389.41754,242.79384,239.41711,243.87605,206.22112,233.61855,203.37933,173.21942,202.23915,153.92561
230.80984,253.24489,296.99966,273.95953,177.70789,186.78708,231.65427,203.22415,183.69038,196.26952
232.43645,226.26717,277.91214,272.47626,191.45317,214.8725,283.6743,195.0964,193.39888,159.07338
477.2903,281.85062,255.61075,233.28821,185.75543,211.72775,189.63391,209.16304,232.03754,196.13814
299.61008,261.8848,261.9127,331.82648,246.06735,12.497612,171.00691,186.231,199.09438,206.0983
210.99539,320.55457,240.64384,212.72003,230.26819,196.39427,194.96497,184.3753,195.95096,185.29463
258.38718,285.98737,223.62907,234.33966,242.30255,195.39786,196.22949,199.85472,193.98236,174.44383
285.5658,340.11514,222.59386,236.0247,201.97763,207.96594,180.0871,219.63539,201.9529,196.19604
225.4382,232.62547,233.87083,260.18686,201.4276,210.71011,209.95943,203.87146,178.84811,140.74347
373.42227,255.44281,301.17697,206.21506,201.65945,202.28397,198.4131,218.1385,203.14455,196.1193
217.80988,277.35876,298.056,242.42386,250.53172,199.25896,184.83476,202.38785,170.24335,175.24161
250.7866,279.77554,258.64578,253.34909,187.03917,210.28015,194.14883,170.91113,209.51987,215.44124
311.45895,325.3189,219.57344,213.29779,216.20512,187.84764,184.85718,204.16302,189.99077,197.60333
227.81831,253.9813,340.11505,234.02275,205.1394,201.25882,221.78406,211.38123,171.29422,185.59134
235.4736,237.26535,238.52223,219.57121,202.98416,210.04286,185.23833,210.33861,196.00041,189.98099
338.65375,283.96393,230.3336,267.10138,205.82251,230.40628,181.31067,202.2481,203.72731,166.88107
249.06543,332.43906,276.774,221.53593,225.4488,235.46164,177.02884,205.75021,190.9226,178.6067
247.00955,342.5325,318.84668,276.44202,187.6128,216.3276,225.57585,169.09818,223.46149,191.6107
267.15158,302.4885,311.45322,223.06606,210.11127,246.99712,179.5504,189.79175,210.0572,198.12753
305.4724,268.03003,249.54709,252.74138,209.90932,194.50623,203.45361,188.05946,190.58382,178.87459
253.87303,310.83432,238.71588,219.37764,191.95735,161.38074,194.93822,198.6131,176.51877,202.84108
229.97397,334.5739,316.55093,242.0779,217.4476,202.06328,182.6058,203.07687,195.37819,181.13948
267.50992,255.7627,238.53265,241.44005,197.85902,221.44173,193.07349,157.22853,162.72261,150.94612
306.0042,240.37335,294.99988,270.47552,194.12952,217.77782,172.94106,193.10324,127.6893,181.85992
369.3219,291.91776,222.11609,240.09125,206.95668,185.10915,204.52843,205.56366,197.82863,218.78111
259.7804,249.93459,310.90607,259.57706,175.45251,199.31326,245.24754,277.2515,218.21619,185.46097
289.0545,232.43694,220.7762,250.10463,228.77095,208.87558,248.37782,182.9019,205.44691,229.82973
392.30533,308.8866,247.86778,238.24565,232.30945,200.57254,214.5327,206.04625,181.93553,193.9027
518.15265,331.08847,353.01263,259.8495,193.65298,201.32576,212.1323,141.90677,158.76154,170.36154
327.9713,381.22165,345.58777,279.26675,217.16809,226.15675,191.52852,206.56726,222.81851,171.8784
294.6177,309.92682,275.95715,308.58832,187.67477,189.83563,215.6452,217.71039,198.803,183.43578
222.09308,214.72424,249.3648,236.56593,226.2046,212.40982,194.00688,229.62904,226.05627,184.13884
325.72577,222.10826,250.37741,207.56317,240.90466,236.16661,224.95209,206.906,184.66708,203.9041
