FSC-A,SSC-A,FITC-A,PE-A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,V500-A,Time,FITC_fluorescence
14308.89,117.799995,37674.3,4295.05,294.5,31.0,86.4,-1.35,129.28,1515.52,56.2,272.0154
16993.71,69.75,46876.65,5810.9497,333.25,292.94998,56.7,31.050001,179.2,1818.88,56.2,285.03302
15802.68,43.399998,38553.15,4729.05,458.8,139.5,72.9,60.75,108.799995,1666.5599,56.3,251.97464
11279.55,147.25,29003.6,3554.15,375.09998,-40.3,13.5,29.7,78.08,1099.52,56.3,265.6294
15403.35,127.1,49534.9,5694.6997,356.5,148.79999,40.5,2.7,78.08,2094.0798,56.3,332.46017
12780.3,83.7,43018.7,4942.9497,364.25,15.5,87.75,-4.05,128.0,1649.9199,56.3,348.0311
15374.64,139.5,32833.65,3797.5,497.55,93.0,81.0,-16.2,116.479996,1559.0399,56.4,220.44307
12557.58,142.59999,40473.598,4498.1,426.25,88.35,22.95,24.300001,147.2,1694.72,56.5,333.2056
21872.67,246.45,80310.15,9109.35,804.44995,117.799995,129.6,32.4,185.59999,3175.68,56.5,379.7295
13781.67,105.399994,33360.65,3732.4,420.05,65.1,87.75,-14.85,139.52,1218.5599,56.5,250.00394
16018.44,179.79999,36663.7,4171.05,475.84998,43.399998,-6.75,6.75,46.079998,1738.24,56.5,236.33617
15445.11,173.59999,40458.098,4795.6997,409.19998,65.1,49.95,-5.4,180.48,1845.76,56.5,270.62036
21741.3,193.75,55716.297,6833.9497,878.85,148.79999,98.55,-52.65,106.24,2494.72,56.5,264.73245
13139.61,91.45,27187.0,3203.8499,316.19998,-12.4,162.0,36.45,85.759995,1111.0399,56.7,213.5491
14700.39,120.899994,47764.797,5615.65,372.0,110.049995,41.850002,56.7,69.119995,1839.36,56.9,335.92014
24363.48,193.75,70476.945,8140.5996,635.5,66.65,6.75,4.05,144.64,3089.92,56.9,298.95468
18859.86,127.1,55003.297,6818.4497,465.0,20.15,184.95,-14.85,168.95999,2417.92,57.0,301.4114
14897.88,80.6,31404.549,3721.5498,226.29999,10.849999,-48.600002,14.85,88.32,1608.96,57.0,217.58281
22191.96,179.79999,65980.4,7732.9497,475.84998,21.699999,-43.2,62.100002,202.23999,2713.5999,57.0,307.29547
18277.83,91.45,61249.797,6500.6997,536.3,102.299995,64.8,62.100002,84.479996,2520.3198,57.1,346.4785
12259.17,75.95,24916.25,2878.3499,244.9,1.55,112.05,41.850002,55.039997,1027.84,57.1,209.75092
26508.9,159.65,80640.3,9515.45,666.5,20.15,12.150001,37.8,189.44,4180.48,57.1,314.43384
27591.18,175.15,70272.35,7946.8496,753.3,88.35,55.350002,32.4,144.64,3255.04,57.1,263.09616
11130.78,63.55,19951.6,2625.7,308.44998,4.6499996,156.6,-20.25,-10.24,1130.24,57.2,184.86603
17127.69,66.65,45943.547,5474.5996,238.7,21.699999,22.95,24.300001,108.799995,1982.72,57.2,277.1465
23082.84,198.4,52090.848,6015.55,646.35,-23.25,122.85,48.600002,135.68,2056.96,57.3,233.00227
24936.81,167.4,56947.0,7294.3,683.55,29.449999,82.35,27.0,220.15999,2767.3599,57.3,235.79788
21972.72,223.2,62265.047,7984.05,849.39996,159.65,75.6,-43.2,179.2,2762.24,57.4,292.83826
21776.1,167.4,73228.195,8600.95,756.39996,102.299995,66.15,-2.7,122.88,3082.24,57.4,347.6953
17724.51,212.34999,41327.65,4600.4,325.5,7.75,72.9,74.25,106.24,2112.0,57.4,240.77664
17019.81,144.15,58585.348,6511.55,655.64996,-54.25,147.15001,76.950005,39.68,2403.8398,57.4,355.92926
15119.73,117.799995,32402.748,3989.7,443.3,43.399998,225.45,60.75,142.08,1800.96,57.4,221.2213
18480.541,165.84999,68499.15,8032.0996,682.0,17.05,47.25,54.0,190.72,2398.72,57.4,383.34247
16336.86,114.7,50536.2,5381.5996,618.44995,99.2,33.75,39.15,117.759995,2138.88,57.4,319.76123
11046.39,58.899998,21287.7,2235.0999,227.84999,86.799995,51.3,39.15,106.24,1096.96,57.4,198.82796
20221.41,139.5,56244.848,6522.4,531.64996,-82.149994,49.95,-27.0,189.44,2426.88,57.5,287.4159
14249.73,106.95,55815.5,6187.5996,548.7,141.05,71.55,4.05,108.799995,2094.0798,57.5,405.15897
15952.32,94.549995,35650.0,3794.4,482.05,29.449999,101.25,22.95,142.08,1658.88,57.5,230.73068
15316.35,120.899994,40027.2,4811.1997,328.59998,74.399994,116.1,16.2,0.0,1735.6799,57.5,269.9866
19347.06,172.04999,46304.7,5358.3496,516.14996,15.5,197.1,1.35,130.56,2396.16,57.5,247.17496
16376.01,145.7,54550.7,6114.75,368.9,55.8,97.200005,54.0,113.92,2182.4,57.6,344.41415
46919.97,505.3,162959.25,19111.5,1480.25,516.14996,97.200005,8.1,476.16,6723.84,57.7,359.13818
23182.02,255.74998,51026.0,6306.9497,888.14996,-20.15,106.65,-39.15,149.76,2567.68,57.7,227.2381
18627.57,130.2,45773.047,5628.05,626.19995,212.34999,54.0,45.9,244.48,2703.3599,57.7,253.80122
27097.89,235.59999,87199.9,10200.55,892.8,286.75,163.35,12.150001,207.36,3828.48,57.7,332.67862
16811.88,122.45,35552.348,4377.1997,385.94998,232.5,47.25,101.25,110.079994,1465.6,57.7,218.28041
13461.51,102.299995,30793.85,3436.3499,297.59998,54.25,174.15001,-13.5,33.28,1520.64,57.7,236.20187
16804.92,127.1,38142.4,4558.55,351.84998,6.2,-10.8,10.8,144.64,1597.44,57.7,234.35284
22495.59,184.45,65966.445,7453.9497,894.35,302.25,120.15,-14.85,193.28,3025.92,57.7,303.06998
13783.41,94.549995,37283.7,4386.5,359.59998,12.4,59.4,-8.1,47.36,1190.4,57.7,279.48535
23838.0,274.35,99024.84,11553.699,1002.85,111.6,120.15,66.15,327.68,4458.2397,57.8,429.74698
19189.59,201.5,66391.15,7236.9497,635.5,57.35,55.350002,64.8,235.51999,2543.3599,57.8,357.7504
16983.27,186.0,44725.25,5240.55,641.69995,49.6,13.5,-14.85,163.84,1729.2799,57.8,272.0734
23677.92,217.0,65899.8,7686.4497,573.5,58.899998,101.25,10.8,103.68,3107.8398,57.8,287.59473
17868.93,128.65,62018.598,7181.15,528.55,0.0,113.4,-85.05,15.36,1885.44,57.9,358.89124
11164.71,83.7,24141.25,2701.65,189.09999,-3.1,76.950005,17.550001,56.32,1207.0399,57.9,223.2127
24809.791,150.34999,67465.3,8059.9995,602.94995,203.04999,189.0,-43.2,193.28,3014.4,57.9,280.9715
12435.78,31.0,40662.7,4862.3496,441.75,35.649998,40.5,10.8,24.32,1843.2,57.9,338.0557
31114.68,334.8,93108.5,11113.5,1385.7,207.7,129.6,-24.300001,313.6,4404.48,57.9,309.29294
20923.5,192.2,49685.25,5922.55,604.5,199.95,25.65,-62.100002,107.52,2168.32,58.0,245.23004
13749.48,86.799995,33560.598,3785.0999,353.4,-57.35,135.0,-43.2,92.159996,1167.36,58.0,252.09949
18481.41,93.0,66515.15,7765.5,930.0,184.45,18.9,5.4,162.56,2912.0,58.0,372.19287
20280.57,71.299995,57387.2,7224.55,477.4,210.79999,166.05,10.8,64.0,2590.72,58.0,292.41528
15050.13,88.35,33459.848,3924.5999,376.65,71.299995,55.350002,-13.5,102.399994,1474.5599,58.0,229.5322
11557.08,71.299995,27839.549,3140.2998,237.15,-54.25,101.25,-18.9,-42.239998,1159.6799,58.0,248.78247
17635.77,94.549995,47850.047,5400.1997,613.8,4.6499996,71.55,-16.2,126.71999,1900.7999,58.1,280.34283
22356.39,158.09999,52245.848,6364.3,788.94995,127.1,-14.85,2.7,163.84,2238.72,58.1,241.32486
24648.84,240.25,63067.95,7689.55,599.85,-35.649998,148.5,-91.8,56.32,2805.76,58.1,264.31396
18403.11,103.85,46092.348,5662.15,378.19998,43.399998,-2.7,79.65,165.12,2402.56,58.1,258.70813
12000.78,119.35,33041.348,3929.25,452.59998,15.5,16.2,-8.1,25.599998,1310.72,58.1,284.49344
21961.41,116.25,82687.84,9747.949,630.85,156.54999,37.8,-9.45,42.239998,2864.64,58.1,389.41754
19019.07,117.799995,42518.047,4924.3496,449.5,37.199997,87.75,31.050001,198.4,1986.5599,58.1,230.80984
12845.55,43.399998,28918.35,3330.95,193.75,7.75,68.85,-6.75,163.84,1039.36,58.2,232.43645
33789.93,373.55,155858.69,17293.35,1658.5,502.19998,367.2,64.8,280.32,5972.48,58.2,477.2903
12949.95,75.95,37542.55,4240.8,446.4,41.85,90.450005,22.95,76.799995,1688.32,58.2,299.61008
15355.5,120.899994,31393.7,3360.4,117.799995,37.199997,95.85,48.600002,-21.76,1446.4,58.3,210.99539
13644.21,116.25,34131.0,3775.7998,458.8,24.8,9.45,40.5,39.68,1402.88,58.3,258.38718
22546.05,158.09999,62308.45,7219.9,489.8,34.1,180.90001,-6.75,131.84,2190.0798,58.3,285.5658
15583.44,120.899994,34030.25,3600.65,368.9,32.55,98.55,-14.85,87.04,1521.9199,58.3,225.4382
23639.64,133.3,85360.05,9482.899,934.64996,-86.799995,33.75,12.150001,202.23999,3384.3198,58.3,373.42227
34347.6,254.2,72479.55,8439.75,602.94995,13.95,275.4,-74.25,290.56,3287.04,58.4,217.80988
18041.19,66.65,43807.65,5034.4,589.0,119.35,163.35,0.0,134.4,2096.64,58.4,250.7866
16368.18,125.549995,49322.547,6125.5996,798.25,167.4,-44.55,-45.9,115.2,1868.7999,58.5,311.45895
18865.95,128.65,41631.45,4764.6997,387.5,108.5,-4.05,-16.2,181.76,1932.7999,58.5,227.81831
16198.53,150.34999,36941.15,4536.85,393.69998,72.85,31.050001,13.5,103.68,2115.8398,58.5,235.4736
25057.74,186.0,82078.695,9636.35,652.55,3.1,-14.85,-40.5,113.92,3267.8398,58.6,338.65375
36157.2,144.15,87196.8,10081.199,795.14996,173.59999,91.8,-8.1,253.43999,4334.08,58.6,249.06543
14995.32,111.6,35865.45,4267.15,427.8,23.25,157.95,8.1,128.0,1553.9199,58.7,247.00955
32725.92,291.4,84630.0,9517.0,903.64996,170.5,39.15,-54.0,53.76,3644.16,58.7,267.15158
17606.19,147.25,52036.598,5852.8,503.74997,68.2,197.1,10.8,56.32,2213.1199,58.8,305.4724
17299.95,162.75,42522.7,4958.4497,500.65,66.65,16.2,-37.8,128.0,2044.1599,58.8,253.87303
14669.94,133.3,32677.1,3974.2,362.69998,21.699999,83.700005,31.050001,56.32,1358.08,58.8,229.97397
27791.28,261.94998,71964.945,9259.7,788.94995,37.199997,187.65001,-16.2,189.44,3042.5598,58.8,267.50992
26868.21,187.54999,79549.09,9293.8,1007.49994,176.7,135.0,49.95,200.95999,3404.7998,58.9,306.0042
17742.78,184.45,63365.547,7345.4497,561.1,24.8,5.4,67.5,208.64,2471.68,58.9,369.3219
18809.4,131.75,47304.45,5521.0996,277.44998,207.7,28.35,5.4,99.84,2146.56,58.9,259.7804
19592.4,137.95,54804.9,6434.05,531.64996,27.9,22.95,60.75,46.079998,2452.48,58.9,289.0545
18955.56,175.15,71898.3,8314.2,787.39996,75.95,136.35,18.9,70.4,2572.8,59.0,392.30533
29934.09,492.9,149869.5,16753.95,1413.6,94.549995,329.4,-2.7,458.24,6412.8,59.0,518.15265
16739.67,97.649994,53107.65,6496.05,316.19998,116.25,145.8,28.35,153.59999,2076.16,59.0,327.9713
18839.85,151.9,53710.598,6362.75,604.5,23.25,93.15,8.1,209.92,2410.24,59.0,294.6177
20378.88,204.59999,43844.848,4766.25,477.4,117.799995,89.1,-17.550001,129.28,1841.9199,59.0,222.09308
23514.36,240.25,74091.55,9008.6,761.05,-37.199997,83.700005,13.5,148.48,3164.16,59.1,325.72577
23168.1,189.09999,56895.848,6703.75,399.9,224.75,211.95,35.100002,175.36,2868.48,59.1,253.6467
16120.23,145.7,42048.4,4862.3496,396.8,-40.3,128.25,8.1,128.0,2196.48,59.2,269.47437
15397.26,137.95,35101.3,4107.5,449.5,43.399998,103.950005,5.4,135.68,1619.2,59.2,235.38922
18769.38,161.2,64766.746,7444.65,562.64996,111.6,51.3,13.5,299.52,2739.2,59.2,356.80798
28058.371,328.59998,102292.25,11967.55,1351.6,75.95,90.450005,35.100002,225.28,4737.28,59.2,377.03165
